a,w,method,tlb
3,2,sax,0.00047393364928909954
3,2,sfa,0.0027325371741133094
3,2,spartan,0.019930208641967012
4,2,sax,0.00047393364928909954
4,2,sfa,0.0042799909985537276
4,2,spartan,0.041191082185176954
5,2,sax,0.00047393364928909954
5,2,sfa,0.005994796794132094
5,2,spartan,0.05582865764996636
6,2,sax,0.00047393364928909954
6,2,sfa,0.0071058486299487664
6,2,spartan,0.06670932691350205
7,2,sax,0.000474374002277518
7,2,sfa,0.008067242769767146
7,2,spartan,0.07732642581495909
8,2,sax,0.00047393364928909954
8,2,sfa,0.008756476914479798
8,2,spartan,0.08461670524824676
9,2,sax,0.00047678536475721355
9,2,sfa,0.009561337081632062
9,2,spartan,0.09147519704144709
10,2,sax,0.0005463245420394342
10,2,sfa,0.01003965716641063
10,2,spartan,0.09711401360128828
3,3,sax,0.00047393364928909954
3,3,sfa,0.004294704094229092
3,3,spartan,0.028372226677952007
4,3,sax,0.00047393364928909954
4,3,sfa,0.006932255079374844
4,3,spartan,0.05610163489872756
5,3,sax,0.0004781253648800452
5,3,sfa,0.009258267090669297
5,3,spartan,0.07552262252749743
6,3,sax,0.0006455824073124093
6,3,sfa,0.011166456381422808
6,3,spartan,0.08934342289120553
7,3,sax,0.0006557889255676955
7,3,sfa,0.012561357159688829
7,3,spartan,0.10067820448655347
8,3,sax,0.0010032563399302676
8,3,sfa,0.013736441842387525
8,3,spartan,0.11071196560574176
9,3,sax,0.0008174847467071971
9,3,sfa,0.014711259520077465
9,3,spartan,0.11882383092379423
10,3,sax,0.0017756435973266497
10,3,sfa,0.01538522322763289
10,3,spartan,0.125224619157474
3,4,sax,0.0004748536351252034
3,4,sfa,0.00440603798455566
3,4,spartan,0.03527636620144855
4,4,sax,0.0007609120272777849
4,4,sfa,0.007133698991033392
4,4,spartan,0.06978166861776933
5,4,sax,0.0007151619846939949
5,4,sfa,0.009505339921998158
5,4,spartan,0.09250231078281358
6,4,sax,0.0012616208080362943
6,4,sfa,0.011449973398774956
6,4,spartan,0.10712509085101789
7,4,sax,0.0012371773059146561
7,4,sfa,0.012849098793638826
7,4,spartan,0.12048248660039346
