a,w,method,tlb
3,2,sax,0.03722086924750665
3,2,sfa,0.09063034121392724
3,2,spartan,0.16164326807786836
4,2,sax,0.1122781416559189
4,2,sfa,0.14302436753378614
4,2,spartan,0.2263205336127367
5,2,sax,0.06366046816962088
5,2,sfa,0.17301983248149883
5,2,spartan,0.28890254888417666
6,2,sax,0.10929285667665513
6,2,sfa,0.2065802213373441
6,2,spartan,0.3213105522291563
7,2,sax,0.1545948902221475
7,2,sfa,0.22776304962046715
7,2,spartan,0.3553120003713464
8,2,sax,0.19413461511799396
8,2,sfa,0.23596526510439825
8,2,spartan,0.37965861320721644
9,2,sax,0.16152646275872706
9,2,sfa,0.24834456305576869
9,2,spartan,0.3993093582421697
10,2,sax,0.19380941875095908
10,2,sfa,0.25936065722282103
10,2,spartan,0.42277609003274613
3,3,sax,0.10019750729851819
3,3,sfa,0.11189621204941695
3,3,spartan,0.20130410458759798
4,3,sax,0.168096119688261
4,3,sfa,0.17445340152797897
4,3,spartan,0.28660237538729405
5,3,sax,0.21367544402945124
5,3,sfa,0.21055019864565303
5,3,spartan,0.3540862220536642
6,3,sax,0.2489048550424842
6,3,sfa,0.24978133166999128
6,3,spartan,0.402181458686781
7,3,sax,0.27765924152388877
7,3,sfa,0.2726248829248935
7,3,spartan,0.43995942495528506
8,3,sax,0.28276853757031256
8,3,sfa,0.2844684346147303
8,3,spartan,0.4645458786588019
9,3,sax,0.31044875446518577
9,3,sfa,0.2999419992378969
9,3,spartan,0.4853189770147224
10,3,sax,0.3309709605402185
10,3,sfa,0.3106766727539074
10,3,spartan,0.513258969526371
3,4,sax,0.11992283109575669
3,4,sfa,0.137131626845617
3,4,spartan,0.21797419304690338
4,4,sax,0.20639791506253719
4,4,sfa,0.2027441132637946
4,4,spartan,0.327741707143443
5,4,sax,0.27151428226952423
5,4,sfa,0.24611416526190946
5,4,spartan,0.3955671454668482
6,4,sax,0.3142029113764398
6,4,sfa,0.2870955875939968
6,4,spartan,0.44294148967870606
7,4,sax,0.3349019166134601
7,4,sfa,0.3105638724506275
7,4,spartan,0.4859552072459336
8,4,sax,0.3630547593855017
8,4,sfa,0.32676096272152083
8,4,spartan,0.5165399353866622
9,4,sax,0.3949463896556876
9,4,sfa,0.34528112629989216
9,4,spartan,0.5357270991101862
10,4,sax,0.40113079643455996
10,4,sfa,0.3568414506234529
10,4,spartan,0.5660990747367323
3,5,sax,0.13575780532022758
3,5,sfa,0.15296625671107125
3,5,spartan,0.23593152178730012
4,5,sax,0.24377984682224751
4,5,sfa,0.22164737490784292
4,5,spartan,0.3469082124596605
5,5,sax,0.3008075519779085
5,5,sfa,0.2699263531669739
5,5,spartan,0.42057634194354004
6,5,sax,0.3544586232178717
6,5,sfa,0.3143848750409526
6,5,spartan,0.4695991402177995
7,5,sax,0.38886241405457084
7,5,sfa,0.34344586244196224
7,5,spartan,0.5136652656021587
8,5,sax,0.4131558321528448
8,5,sfa,0.3610020626426883
8,5,spartan,0.546180501346173
9,5,sax,0.4318403847539519
9,5,sfa,0.3823270393449844
9,5,spartan,0.5676455724780654
10,5,sax,0.44284354857413366
10,5,sfa,0.39371714995925655
10,5,spartan,0.5978833077506511
3,6,sax,0.14885428998308584
3,6,sfa,0.16473504452998144
3,6,spartan,0.25514906225989453
4,6,sax,0.26790170784328343
4,6,sfa,0.23874549467405554
4,6,spartan,0.37054322876315465
5,6,sax,0.33315333974367695
5,6,sfa,0.29215764165016533
5,6,spartan,0.44593540930223263
6,6,sax,0.3921749165821292
6,6,sfa,0.3364940225879557
6,6,spartan,0.4948017984949641
7,6,sax,0.4258020767278036
7,6,sfa,0.3671183209184457
7,6,spartan,0.5409050951413483
8,6,sax,0.45093830313828365
8,6,sfa,0.3845076961211315
8,6,spartan,0.5726028848646116
9,6,sax,0.4721684965223603
9,6,sfa,0.4074692278383362
9,6,spartan,0.5948799834376161
10,6,sax,0.48813696458597694
10,6,sfa,0.4202008891351542
10,6,spartan,0.626411404125248
3,7,sax,0.18114144951345398
3,7,sfa,0.1731475072877491
3,7,spartan,0.2663963878614269
4,7,sax,0.287910031413602
4,7,sfa,0.25025703367295726
4,7,spartan,0.3815837210033278
5,7,sax,0.35786528025171976
5,7,sfa,0.2987206699491081
5,7,spartan,0.45939768281955823
6,7,sax,0.4188733324373734
6,7,sfa,0.34567057238875376
6,7,spartan,0.5082540816432287
7,7,sax,0.4717073037723489
7,7,sfa,0.37591709274107404
7,7,spartan,0.5556111655595287
8,7,sax,0.4910746227202386
8,7,sfa,0.3962897140476986
8,7,spartan,0.589190020993289
9,7,sax,0.5195119706962417
9,7,sfa,0.41403216386918146
9,7,spartan,0.6112975927943232
10,7,sax,0.5434051615950442
10,7,sfa,0.4260796675767409
10,7,spartan,0.6438960662975372
3,8,sax,0.16912381152313888
3,8,sfa,0.17949355086979923
3,8,spartan,0.2739280423982994
4,8,sax,0.28695780489934514
4,8,sfa,0.2589035864067617
4,8,spartan,0.39138787708224937
5,8,sax,0.380919282957669
5,8,sfa,0.3073766159826908
5,8,spartan,0.46852122615069075
6,8,sax,0.4319914743894573
6,8,sfa,0.35531639498204615
6,8,spartan,0.517833940190883
7,8,sax,0.4742261625544608
7,8,sfa,0.3877441969691519
7,8,spartan,0.5648043233024481
8,8,sax,0.49574455484303814
8,8,sfa,0.40916469379888687
8,8,spartan,0.5996433462943921
9,8,sax,0.5370916362532263
9,8,sfa,0.4278986695709561
9,8,spartan,0.6225866129507899
10,8,sax,0.5598656031883873
10,8,sfa,0.4401479415060356
10,8,spartan,0.654817948894251
