a,w,method,tlb
3,2,sax,0.00323709016837723
3,2,sfa,0.05511064141311977
3,2,spartan,0.18579824882246204
4,2,sax,0.003205128205128205
4,2,sfa,0.08907560224081125
4,2,spartan,0.3125607335425414
5,2,sax,0.0066549921857393946
5,2,sfa,0.11679023569782386
5,2,spartan,0.38096638355840146
6,2,sax,0.006596492141348005
6,2,sfa,0.1383242104420111
6,2,spartan,0.4244383285155396
7,2,sax,0.009422516592385395
7,2,sfa,0.1522415186050085
7,2,spartan,0.46215488144224615
8,2,sax,0.014827401864510288
8,2,sfa,0.1644327540747282
8,2,spartan,0.4870672539561052
9,2,sax,0.015494640985562956
9,2,sfa,0.17297265944611304
9,2,spartan,0.5096761371181793
10,2,sax,0.027300606768054153
10,2,sfa,0.18162217705228123
10,2,spartan,0.5259082254888285
3,3,sax,0.07252775591059632
3,3,sfa,0.08806364304306566
3,3,spartan,0.23920804065368195
4,3,sax,0.11192780805737367
4,3,sfa,0.14320034525558717
4,3,spartan,0.37161109324848746
5,3,sax,0.139219692934713
5,3,sfa,0.1798935504481249
5,3,spartan,0.4364033264881819
6,3,sax,0.1563227043530578
6,3,sfa,0.20656686001892724
6,3,spartan,0.4842236123854299
7,3,sax,0.1748917764126303
7,3,sfa,0.227777806487614
7,3,spartan,0.5249049983615025
8,3,sax,0.21527349614104552
8,3,sfa,0.2440445451369112
8,3,spartan,0.5511161090387733
9,3,sax,0.2144792012480993
9,3,sfa,0.2565354459887983
9,3,spartan,0.5759764602572843
10,3,sax,0.23376765141000846
10,3,sfa,0.26572913237845874
10,3,spartan,0.5921973601483702
3,4,sax,0.16704868994312808
3,4,sfa,0.1350834218155499
3,4,spartan,0.26833457718080556
4,4,sax,0.21098756806798233
4,4,sfa,0.21062611380358626
4,4,spartan,0.4157920292200801
5,4,sax,0.19209073482336014
5,4,sfa,0.25702529319391504
5,4,spartan,0.48665399526963504
6,4,sax,0.2713416723502684
6,4,sfa,0.29485928552984364
6,4,spartan,0.5362792523080312
7,4,sax,0.3137163641398133
7,4,sfa,0.31951089567643515
7,4,spartan,0.5766461210612549
8,4,sax,0.3336845523965838
8,4,sfa,0.3389855655963177
8,4,spartan,0.6047307445062781
9,4,sax,0.335802932881061
9,4,sfa,0.35619683263267593
9,4,spartan,0.6322112310550091
10,4,sax,0.34887954598900406
10,4,sfa,0.36621378672483296
10,4,spartan,0.6498952296994797
3,5,sax,0.19912910388292301
3,5,sfa,0.16506803005889684
3,5,spartan,0.2769002141373431
4,5,sax,0.2560041189476932
4,5,sfa,0.24531377565761023
4,5,spartan,0.42778349039073843
5,5,sax,0.2882500056633571
5,5,sfa,0.2943337979350487
5,5,spartan,0.5005504201805595
6,5,sax,0.3492690646661864
6,5,sfa,0.33339288611982104
6,5,spartan,0.5515112610078097
7,5,sax,0.36876349271667697
7,5,sfa,0.35829395609981013
7,5,spartan,0.5935024524596464
8,5,sax,0.38920883683712715
8,5,sfa,0.37827926430748376
8,5,spartan,0.6220237974702082
9,5,sax,0.4115041355037124
9,5,sfa,0.39540231557828415
9,5,spartan,0.649976809594052
10,5,sax,0.4378369338482165
10,5,sfa,0.4066746769343842
10,5,spartan,0.6677220210243368
3,6,sax,0.21911973126371279
3,6,sfa,0.17116376787390167
3,6,spartan,0.2845071221522675
4,6,sax,0.2850879541062199
4,6,sfa,0.2558307369857544
4,6,spartan,0.4374012439425011
5,6,sax,0.3242860206270443
5,6,sfa,0.30787280445589577
5,6,spartan,0.5105617952942759
6,6,sax,0.3999013121669214
6,6,sfa,0.34853015009908717
6,6,spartan,0.5625291842597249
7,6,sax,0.448117436781864
7,6,sfa,0.37482325064937966
7,6,spartan,0.6048785466540779
8,6,sax,0.47171394091257735
8,6,sfa,0.3960205420826838
8,6,spartan,0.6342508757269018
9,6,sax,0.478072307064465
9,6,sfa,0.4160810697661794
9,6,spartan,0.6622655999483678
10,6,sax,0.4814845178332959
10,6,sfa,0.42902009161584365
10,6,spartan,0.679988735690318
3,7,sax,0.2266507803311494
3,7,sfa,0.1969378560734845
3,7,spartan,0.2924650355687008
4,7,sax,0.3025445486003024
4,7,sfa,0.29048735335402703
4,7,spartan,0.4458800914832188
5,7,sax,0.34857134020740127
5,7,sfa,0.3457438949786723
5,7,spartan,0.5201445251371046
6,7,sax,0.4260417269210091
6,7,sfa,0.3903284393336782
6,7,spartan,0.57200901222326
7,7,sax,0.47048386484867855
7,7,sfa,0.41705465004753894
7,7,spartan,0.6146050291898448
8,7,sax,0.49681330425116116
8,7,sfa,0.4398877408349706
8,7,spartan,0.6441112215943636
9,7,sax,0.5155660984798396
9,7,sfa,0.46214235269714726
9,7,spartan,0.6724486257004038
10,7,sax,0.5375058874035419
10,7,sfa,0.47348005312337754
10,7,spartan,0.69027431306224
3,8,sax,0.23761667106141643
3,8,sfa,0.20054942939370068
3,8,spartan,0.2977422988278066
4,8,sax,0.31567553455808656
4,8,sfa,0.2968777166992714
4,8,spartan,0.45228622181917927
5,8,sax,0.35724907889597013
5,8,sfa,0.35332138365859245
5,8,spartan,0.5271809157469682
6,8,sax,0.4333112949013321
6,8,sfa,0.3984096295124989
6,8,spartan,0.5797481562289368
7,8,sax,0.4831384696222042
7,8,sfa,0.42652733320460895
7,8,spartan,0.6225209774860501
8,8,sax,0.5133912961104727
8,8,sfa,0.44973368415921466
8,8,spartan,0.652241262140181
9,8,sax,0.5323097354143613
9,8,sfa,0.4721383156154736
9,8,spartan,0.6807349846081425
10,8,sax,0.556299961377714
10,8,sfa,0.48427399969175744
10,8,spartan,0.6990966551365635
