a,w,method,tlb
3,2,sax,0.003205128205128205
3,2,sfa,0.01499943888350608
3,2,spartan,0.043928555766951594
4,2,sax,0.003205128205128205
4,2,sfa,0.023816117775879074
4,2,spartan,0.10285191860249694
5,2,sax,0.003205128205128205
5,2,sfa,0.030316573687524037
5,2,spartan,0.15380228441008564
6,2,sax,0.003205128205128205
6,2,sfa,0.034793432661466714
6,2,spartan,0.18522702394082197
7,2,sax,0.003205128205128205
7,2,sfa,0.039237566630730004
7,2,spartan,0.204928038293222
8,2,sax,0.003205128205128205
8,2,sfa,0.04163732749092545
8,2,spartan,0.22393264065395327
9,2,sax,0.0032312298661430765
9,2,sfa,0.04328412243492077
9,2,spartan,0.23842016711648373
10,2,sax,0.004379049043932204
10,2,sfa,0.045164199067598415
10,2,spartan,0.2526517375257103
3,3,sax,0.003205128205128205
3,3,sfa,0.024743674888309055
3,3,spartan,0.06161398971618361
4,3,sax,0.003205128205128205
4,3,sfa,0.03692651277346963
4,3,spartan,0.1384912010899611
5,3,sax,0.004471380260211855
5,3,sfa,0.045340755375238524
5,3,spartan,0.19922485293879497
6,3,sax,0.005405032908222562
6,3,sfa,0.051582466244363905
6,3,spartan,0.2412628358450024
7,3,sax,0.009849510650717529
7,3,sfa,0.05637145996456436
7,3,spartan,0.2676207494637867
8,3,sax,0.010408569395988578
8,3,sfa,0.060083378407662695
8,3,spartan,0.29072079355854263
9,3,sax,0.019008728957914507
9,3,sfa,0.06340439540845215
9,3,spartan,0.308899094740482
10,3,sax,0.01743370178852525
10,3,sfa,0.06598918587430129
10,3,spartan,0.32534508185152367
3,4,sax,0.003218239232292725
3,4,sfa,0.03507965866246787
3,4,spartan,0.07308187180437711
4,4,sax,0.003205128205128205
4,4,sfa,0.05195488896304107
4,4,spartan,0.16276428785536196
5,4,sax,0.0076065013445043034
5,4,sfa,0.06367476431755888
5,4,spartan,0.23459793639015838
6,4,sax,0.006155762316178295
6,4,sfa,0.07075625345175113
6,4,spartan,0.2870653600666078
7,4,sax,0.020291927594688234
7,4,sfa,0.07628875306422694
7,4,spartan,0.3166107659812
8,4,sax,0.018061445851038867
8,4,sfa,0.08212579195978592
8,4,spartan,0.34232366164453126
9,4,sax,0.03260443863578892
9,4,sfa,0.08560434601073658
9,4,spartan,0.36553517087698195
10,4,sax,0.036034499631458654
10,4,sfa,0.08907893916770174
10,4,spartan,0.384230993912404
3,5,sax,0.0034694957771165408
3,5,sfa,0.03810751810475249
3,5,spartan,0.09133066360959884
4,5,sax,0.0038718020977745213
4,5,sfa,0.05513006976356906
4,5,spartan,0.1889625842129296
5,5,sax,0.016228213317566673
5,5,sfa,0.06641639981260296
5,5,spartan,0.2679367711823753
6,5,sax,0.014260472129325137
6,5,sfa,0.07433859128555456
6,5,spartan,0.3237446862462254
7,5,sax,0.03698028405204812
7,5,sfa,0.08003662351042555
7,5,spartan,0.35761946252283844
8,5,sax,0.04125538065819958
8,5,sfa,0.08544969990677542
8,5,spartan,0.38717453045985056
9,5,sax,0.05277371370106334
9,5,sfa,0.0895299155291242
9,5,spartan,0.41177375951656464
10,5,sax,0.06091611301493391
10,5,sfa,0.09238136987183801
10,5,spartan,0.4343492182624933
3,6,sax,0.0036911241771782678
3,6,sfa,0.039342411715180665
3,6,spartan,0.1076043553158298
4,6,sax,0.00438569655375171
4,6,sfa,0.057016692063765605
4,6,spartan,0.21232948326348625
5,6,sax,0.01973360622438411
5,6,sfa,0.06873596806814951
5,6,spartan,0.2915346053061631
6,6,sax,0.01958019148515281
6,6,sfa,0.0767739518177584
6,6,spartan,0.3486259704170464
7,6,sax,0.04677029757785559
7,6,sfa,0.08290435778591121
7,6,spartan,0.3861058953252561
8,6,sax,0.04895350493347981
8,6,sfa,0.08860087666902466
8,6,spartan,0.4172862571608934
9,6,sax,0.06609762281172386
9,6,sfa,0.0927275235285848
9,6,spartan,0.4464506323991999
10,6,sax,0.07037404236571793
10,6,sfa,0.09581599847395321
10,6,spartan,0.4703278313514118
3,7,sax,0.006050160595243759
3,7,sfa,0.04117170739038981
3,7,spartan,0.1189363818641709
4,7,sax,0.00551443123228305
4,7,sfa,0.05921817625117732
4,7,spartan,0.22704849322806964
5,7,sax,0.0434236555924808
5,7,sfa,0.07180972328541306
5,7,spartan,0.30770732020003017
6,7,sax,0.04358254241595812
6,7,sfa,0.07990630183440367
6,7,spartan,0.3655430219141905
7,7,sax,0.07301828257682563
7,7,sfa,0.08613573240019956
7,7,spartan,0.40474145386630617
8,7,sax,0.08478668647058797
8,7,sfa,0.09181124823924132
8,7,spartan,0.4366357270384581
9,7,sax,0.0968465007723966
9,7,sfa,0.09604258103903042
9,7,spartan,0.46560491368309925
10,7,sax,0.10768632767847909
10,7,sfa,0.099149742038701
10,7,spartan,0.4907536709590385
3,8,sax,0.009935195413919625
3,8,sfa,0.04218947185526884
3,8,spartan,0.12798599124927565
4,8,sax,0.006944556439480908
4,8,sfa,0.06028091564563876
4,8,spartan,0.23727054261345198
5,8,sax,0.05476454680911808
5,8,sfa,0.07304891116428107
5,8,spartan,0.31958592703908256
6,8,sax,0.06483945604247585
6,8,sfa,0.08130528360552061
6,8,spartan,0.37799489246001383
7,8,sax,0.08250528848196288
7,8,sfa,0.0874762334362069
7,8,spartan,0.41706104292805757
8,8,sax,0.1063989434845024
8,8,sfa,0.09323822865124115
8,8,spartan,0.4497003903262644
9,8,sax,0.11440409891139855
9,8,sfa,0.09745697303423594
9,8,spartan,0.47936818106072704
10,8,sax,0.12622023499567642
10,8,sfa,0.10064786760194305
10,8,spartan,0.5055617727352311
