a,w,method,tlb
3,2,sax,0.003205128205128205
3,2,sfa,0.03474572474171364
3,2,spartan,0.1256791153286126
4,2,sax,0.003205128205128205
4,2,sfa,0.06423231647759305
4,2,spartan,0.19632494237792067
5,2,sax,0.0034451079758495607
5,2,sfa,0.0792008248654678
5,2,spartan,0.24490727155421177
6,2,sax,0.003205128205128205
6,2,sfa,0.09209822099580535
6,2,spartan,0.2936679711691051
7,2,sax,0.004496194958149482
7,2,sfa,0.1016934751427492
7,2,spartan,0.31366384823454385
8,2,sax,0.004590995058033768
8,2,sfa,0.11094205288006827
8,2,spartan,0.3346738362448463
9,2,sax,0.0059244978777553995
9,2,sfa,0.11724088492919328
9,2,spartan,0.3495619333593219
10,2,sax,0.010325348198622927
10,2,sfa,0.12177310857104702
10,2,spartan,0.3632779702323294
3,3,sax,0.030774304759711827
3,3,sfa,0.05790029349725471
3,3,spartan,0.1522365525980216
4,3,sax,0.03594527224281847
4,3,sfa,0.0963254383728484
4,3,spartan,0.23062489633413727
5,3,sax,0.06062261318801116
5,3,sfa,0.12153114253694863
5,3,spartan,0.28382655642181276
6,3,sax,0.07995262424509963
6,3,sfa,0.1420982881369756
6,3,spartan,0.3299838324390695
7,3,sax,0.10408568188780659
7,3,sfa,0.1548893388702166
7,3,spartan,0.3521268401017372
8,3,sax,0.12035669279894275
8,3,sfa,0.16614991129624035
8,3,spartan,0.3733665687008181
9,3,sax,0.12402050731520735
9,3,sfa,0.17484572511054822
9,3,spartan,0.3907941552836524
10,3,sax,0.13734007261312975
10,3,sfa,0.18015168020809208
10,3,spartan,0.4050578350834673
3,4,sax,0.062145960531872116
3,4,sfa,0.08769989314450342
3,4,spartan,0.1784550660933073
4,4,sax,0.06849654524426824
4,4,sfa,0.13866241837332638
4,4,spartan,0.25989136821157105
5,4,sax,0.11782843457437925
5,4,sfa,0.1707635308590697
5,4,spartan,0.31585636124813116
6,4,sax,0.15409268792320793
6,4,sfa,0.19944595207089563
6,4,spartan,0.3636409183760321
7,4,sax,0.17210631793752948
7,4,sfa,0.2159457678694023
7,4,spartan,0.3866523168908512
8,4,sax,0.1930390794091109
8,4,sfa,0.22986157756535627
8,4,spartan,0.4083221948130125
9,4,sax,0.20763528243706275
9,4,sfa,0.24113936400091704
9,4,spartan,0.42610731100577787
10,4,sax,0.222781943594218
10,4,sfa,0.2471293389636364
