a,w,method,tlb
3,2,sax,0.004761904761904762
3,2,sfa,0.04686143495660755
3,2,spartan,0.1724492832488431
4,2,sax,0.004761904761904762
4,2,sfa,0.0701554904076764
4,2,spartan,0.2650346961597567
5,2,sax,0.004761904761904762
5,2,sfa,0.08822882259142234
5,2,spartan,0.3234432289175866
6,2,sax,0.004761904761904762
6,2,sfa,0.09796573482221417
6,2,spartan,0.34101494523200926
7,2,sax,0.004761904761904762
7,2,sfa,0.11690005191307207
7,2,spartan,0.4279261853765643
8,2,sax,0.004761904761904762
8,2,sfa,0.15780758436238293
8,2,spartan,0.46049856185955584
9,2,sax,0.00485441208134964
9,2,sfa,0.15956873914563102
9,2,spartan,0.5248330780367687
10,2,sax,0.004761904761904762
10,2,sfa,0.1584433693546463
10,2,spartan,0.5323654652855501
3,3,sax,0.004761904761904762
3,3,sfa,0.0495597038819229
3,3,spartan,0.215987124382876
4,3,sax,0.004761904761904762
4,3,sfa,0.08440494535079254
4,3,spartan,0.3121456676133739
5,3,sax,0.0124792313753883
5,3,sfa,0.10324101037508784
5,3,spartan,0.36750511635237276
6,3,sax,0.01481165957563032
6,3,sfa,0.11851971227710639
6,3,spartan,0.3917814576460041
7,3,sax,0.03700804182363585
7,3,sfa,0.1558852977410108
7,3,spartan,0.4717529873484646
8,3,sax,0.018018878055173836
8,3,sfa,0.21839064894954627
8,3,spartan,0.5119302501022786
9,3,sax,0.054887748589027355
9,3,sfa,0.21588827711586414
9,3,spartan,0.5734518842418476
10,3,sax,0.06382729138913804
10,3,sfa,0.21060339000180864
10,3,spartan,0.5846023832162304
3,4,sax,0.004761904761904762
3,4,sfa,0.053523676663843195
3,4,spartan,0.23467180607996535
4,4,sax,0.00772485753938814
4,4,sfa,0.08858313693975775
4,4,spartan,0.334351865485413
5,4,sax,0.026163259302874133
5,4,sfa,0.10735581211092664
5,4,spartan,0.3918966653790871
6,4,sax,0.018916010845297072
6,4,sfa,0.12327268795828293
6,4,spartan,0.417896957386069
7,4,sax,0.054062139157124954
7,4,sfa,0.16034391722079674
7,4,spartan,0.49748855284901183
8,4,sax,0.06393711821930667
8,4,sfa,0.22313026041676295
8,4,spartan,0.5378881664776113
9,4,sax,0.07249505405687892
9,4,sfa,0.22112886376922877
9,4,spartan,0.6005740268358203
10,4,sax,0.08674425063659577
10,4,sfa,0.2161526624918268
10,4,spartan,0.6117973910809041
3,5,sax,0.004817693094133061
3,5,sfa,0.09293097679014521
3,5,spartan,0.2520959422946938
4,5,sax,0.01056870717553085
4,5,sfa,0.1871937483735166
4,5,spartan,0.35415957612047616
5,5,sax,0.04585545437083141
5,5,sfa,0.21750305494380792
5,5,spartan,0.4182257467869632
6,5,sax,0.06829409663034514
6,5,sfa,0.2349376292455243
6,5,spartan,0.44898305274519856
7,5,sax,0.08615099041587149
7,5,sfa,0.26238005226946404
7,5,spartan,0.5324714429869826
8,5,sax,0.09673593132384538
8,5,sfa,0.35056208630446206
8,5,spartan,0.571297470995809
9,5,sax,0.1174261759272574
9,5,sfa,0.3486338319662193
9,5,spartan,0.6372908684839993
10,5,sax,0.10729785530619773
10,5,sfa,0.3511935473691177
10,5,spartan,0.6487376769294073
3,6,sax,0.009457463453669575
3,6,sfa,0.09568868684415598
3,6,spartan,0.2641282763823087
4,6,sax,0.04275140633461645
4,6,sfa,0.19069264730340196
4,6,spartan,0.3693479003002701
5,6,sax,0.05062732079372602
5,6,sfa,0.22113897131618063
5,6,spartan,0.43355005987902
6,6,sax,0.09092751529480186
6,6,sfa,0.23808153197831186
6,6,spartan,0.4663762253513801
7,6,sax,0.12708949271350495
7,6,sfa,0.26564029217974516
7,6,spartan,0.5503178245872774
8,6,sax,0.12610253610338462
8,6,sfa,0.35369984411835376
8,6,spartan,0.5895076550512124
9,6,sax,0.14893852049964348
9,6,sfa,0.3519654769715568
9,6,spartan,0.6548107167941848
10,6,sax,0.15680560377579875
10,6,sfa,0.3545995726217893
10,6,spartan,0.6663644765101471
3,7,sax,0.0147825127269591
3,7,sfa,0.10427540394347708
3,7,spartan,0.27652597575047383
4,7,sax,0.12722761044641484
4,7,sfa,0.2058789986323177
4,7,spartan,0.38846808398419486
5,7,sax,0.1456745671494747
5,7,sfa,0.2326881921574987
5,7,spartan,0.4540200681842353
6,7,sax,0.19235846349727254
6,7,sfa,0.2695794426850947
6,7,spartan,0.4873882904537142
7,7,sax,0.2343789894767555
7,7,sfa,0.3243887994380622
7,7,spartan,0.5735266015863665
8,7,sax,0.27212678962813763
8,7,sfa,0.4001384276706578
8,7,spartan,0.6109920534151034
9,7,sax,0.2815631405103756
9,7,sfa,0.40534629113304665
9,7,spartan,0.6763716139577748
10,7,sax,0.3043413878339864
10,7,sfa,0.39585844899441447
10,7,spartan,0.687902846141319
3,8,sax,0.016271052684959573
3,8,sfa,0.10963244364309516
3,8,spartan,0.28074373907051864
4,8,sax,0.059530855854897355
4,8,sfa,0.2104638913845106
