a,w,method,tlb
3,2,sax,0.006373139646419786
3,2,sfa,0.06505849494894708
3,2,spartan,0.10303929367370246
4,2,sax,0.015382960148382157
4,2,sfa,0.10713185528221617
4,2,spartan,0.17229508996434387
5,2,sax,0.02574672469237522
5,2,sfa,0.13562277757661634
5,2,spartan,0.21846697433998144
6,2,sax,0.03845458550325888
6,2,sfa,0.15609085817331178
6,2,spartan,0.24711912978122544
7,2,sax,0.06241057933286723
7,2,sfa,0.1693740859088214
7,2,spartan,0.28444868222660763
8,2,sax,0.0780632179936982
8,2,sfa,0.18669538882481918
8,2,spartan,0.2999221031279172
9,2,sax,0.07501121028956004
9,2,sfa,0.19349537398443475
9,2,spartan,0.31655836086283573
10,2,sax,0.09536684706009928
10,2,sfa,0.19930442102372384
10,2,spartan,0.3322087533351617
3,3,sax,0.03900851056484983
3,3,sfa,0.08221516499093975
3,3,spartan,0.13801318942363838
4,3,sax,0.06949155061394058
4,3,sfa,0.1308439101396736
4,3,spartan,0.21530597562628512
5,3,sax,0.09651780057954445
5,3,sfa,0.16334773594272453
5,3,spartan,0.26946200318301267
6,3,sax,0.13539717270216897
6,3,sfa,0.1892986896074154
6,3,spartan,0.30493446133671637
7,3,sax,0.15260012041107615
7,3,sfa,0.2052435544698778
7,3,spartan,0.35040093327716776
8,3,sax,0.16575606989117292
8,3,sfa,0.22537164958867523
8,3,spartan,0.36897367389573704
9,3,sax,0.1903557298470554
9,3,sfa,0.23570218262141324
9,3,spartan,0.3843402737018404
10,3,sax,0.20511500422994833
10,3,sfa,0.24625108376349344
10,3,spartan,0.4009831734867839
3,4,sax,0.06215762344361358
3,4,sfa,0.10127416582129674
3,4,spartan,0.1641658647006034
4,4,sax,0.115166330984998
4,4,sfa,0.15991875849971998
4,4,spartan,0.24826917681831673
5,4,sax,0.16146375178086386
5,4,sfa,0.19634108675784756
5,4,spartan,0.30632666335354825
6,4,sax,0.19318206190388432
6,4,sfa,0.22446296634784388
6,4,spartan,0.3463201855815292
7,4,sax,0.23185783806642615
7,4,sfa,0.243967016534563
7,4,spartan,0.3923135593434355
8,4,sax,0.24747489990831537
8,4,sfa,0.2673797513438479
8,4,spartan,0.41417665062305065
9,4,sax,0.25949446532108966
9,4,sfa,0.27774807811971025
9,4,spartan,0.43279405211517036
10,4,sax,0.27671983720975585
10,4,sfa,0.28928822495649326
10,4,spartan,0.45126516110942094
3,5,sax,0.09849266440123591
3,5,sfa,0.11442330089645496
3,5,spartan,0.1814434605247779
4,5,sax,0.16048820905968567
4,5,sfa,0.17761192606294104
4,5,spartan,0.2768813638989975
5,5,sax,0.20819944667532125
5,5,sfa,0.2146179923539017
5,5,spartan,0.33859548328383626
6,5,sax,0.25393609905540016
6,5,sfa,0.24745097426417811
6,5,spartan,0.3786513640590413
7,5,sax,0.2921117307161379
7,5,sfa,0.2677866208768251
7,5,spartan,0.42667946274103136
8,5,sax,0.31126675400422515
8,5,sfa,0.29283549729157504
8,5,spartan,0.4532669704820348
9,5,sax,0.32908052060383214
9,5,sfa,0.30382770889245875
9,5,spartan,0.47291550888977263
10,5,sax,0.34399784793668703
10,5,sfa,0.31584401080837265
10,5,spartan,0.49341511253796777
3,6,sax,0.10632130051665686
3,6,sfa,0.12541316885181053
3,6,spartan,0.19251899780934942
4,6,sax,0.1825984470664726
4,6,sfa,0.19301046229577373
4,6,spartan,0.2964915193606397
5,6,sax,0.24296129128704386
5,6,sfa,0.23313354957521942
5,6,spartan,0.35882675951427023
6,6,sax,0.28097043797379034
6,6,sfa,0.26778135159972705
6,6,spartan,0.4006306299582251
7,6,sax,0.32257939631802884
7,6,sfa,0.2884958256550541
7,6,spartan,0.4518160638859176
8,6,sax,0.334937106271825
8,6,sfa,0.314231245879886
8,6,spartan,0.48059203455187427
9,6,sax,0.3568742753706409
9,6,sfa,0.3260268902103386
9,6,spartan,0.5003559322280804
10,6,sax,0.376888254042365
10,6,sfa,0.3378625179501499
10,6,spartan,0.5206705845149199
3,7,sax,0.144305719375985
3,7,sfa,0.1324771004374303
3,7,spartan,0.204303315526138
4,7,sax,0.2103807423160092
4,7,sfa,0.20199668587140424
4,7,spartan,0.3107673576006505
5,7,sax,0.27418613582858503
5,7,sfa,0.24514436793541391
5,7,spartan,0.37637270326378186
6,7,sax,0.32063449776360686
6,7,sfa,0.2817257593754581
6,7,spartan,0.4185486962921345
7,7,sax,0.36052586449201446
7,7,sfa,0.30123693435781235
7,7,spartan,0.4711734496082341
8,7,sax,0.38264807012580665
8,7,sfa,0.3276912488042876
8,7,spartan,0.4996616169370232
9,7,sax,0.404575101625846
9,7,sfa,0.3402701584092469
9,7,spartan,0.5199971478602673
10,7,sax,0.4245777488634034
10,7,sfa,0.3519069696552622
10,7,spartan,0.5413421140369108
3,8,sax,0.15802442058555205
3,8,sfa,0.13998526526117291
3,8,spartan,0.21525584340549136
4,8,sax,0.22251714620100477
4,8,sfa,0.21202546320770535
4,8,spartan,0.3216278515915936
5,8,sax,0.29139708635731754
5,8,sfa,0.2565211190155755
5,8,spartan,0.3882093899024279
6,8,sax,0.33932659815048255
6,8,sfa,0.29271472760979067
6,8,spartan,0.43385677631418357
7,8,sax,0.37973090319901986
7,8,sfa,0.31370196054412836
7,8,spartan,0.48704696818707693
8,8,sax,0.40261186793184
8,8,sfa,0.3402912561272821
8,8,spartan,0.5160433577133425
9,8,sax,0.43413021830986337
9,8,sfa,0.35416572055969486
9,8,spartan,0.5368237318676771
10,8,sax,0.4507013151001305
10,8,sfa,0.36714109184036714
10,8,spartan,0.5588637569072362
