a,w,method,tlb
3,2,sax,0.001652892561983471
3,2,sfa,0.062239483181117376
3,2,spartan,0.22086653749467977
4,2,sax,0.001652892561983471
4,2,sfa,0.09315421011737524
4,2,spartan,0.3063778364449415
5,2,sax,0.001652892561983471
5,2,sfa,0.11833098349701421
5,2,spartan,0.392217921831578
6,2,sax,0.001652892561983471
6,2,sfa,0.13242142313390556
6,2,spartan,0.44840138623728104
7,2,sax,0.001652892561983471
7,2,sfa,0.14451719077779715
7,2,spartan,0.49262003932766035
8,2,sax,0.001652892561983471
8,2,sfa,0.15537693713964768
8,2,spartan,0.5285665307697958
9,2,sax,0.001652892561983471
9,2,sfa,0.16403721119632464
9,2,spartan,0.5542877977582267
10,2,sax,0.001652892561983471
10,2,sfa,0.17151037971365796
10,2,spartan,0.5775438816395411
3,3,sax,0.001652892561983471
3,3,sfa,0.06593343241950718
3,3,spartan,0.22718762148372562
4,3,sax,0.001652892561983471
4,3,sfa,0.09575979330545334
4,3,spartan,0.3200780849209204
5,3,sax,0.001652892561983471
5,3,sfa,0.13161039810360634
5,3,spartan,0.4083176858547457
6,3,sax,0.001652892561983471
6,3,sfa,0.14472176172286955
6,3,spartan,0.46666431593830326
7,3,sax,0.0016575631045479217
7,3,sfa,0.15895108282494824
7,3,spartan,0.5123802355742338
8,3,sax,0.001652892561983471
8,3,sfa,0.16968136697621078
8,3,spartan,0.5503238099594528
9,3,sax,0.001652892561983471
9,3,sfa,0.17964128638274163
9,3,spartan,0.5769596413888052
10,3,sax,0.0021880024202010472
10,3,sfa,0.18908870097872774
10,3,spartan,0.6000488693486661
3,4,sax,0.001652892561983471
3,4,sfa,0.08059459743694122
3,4,spartan,0.24605060633602327
4,4,sax,0.001652892561983471
4,4,sfa,0.12066421092160617
4,4,spartan,0.3434448948162673
5,4,sax,0.001652892561983471
5,4,sfa,0.16118459713335084
5,4,spartan,0.4333634397466449
6,4,sax,0.001652892561983471
6,4,sfa,0.17586062491388385
6,4,spartan,0.49351213310730474
7,4,sax,0.001652892561983471
7,4,sfa,0.1952443844874447
7,4,spartan,0.5403364567296413
8,4,sax,0.001652892561983471
8,4,sfa,0.2078445598101936
8,4,spartan,0.578053006864595
9,4,sax,0.0016947989286187606
9,4,sfa,0.21823324374162745
9,4,spartan,0.6048004824963594
10,4,sax,0.0016783994930079022
10,4,sfa,0.23129496937537944
10,4,spartan,0.6284832609639194
3,5,sax,0.001652892561983471
3,5,sfa,0.08877888003641739
3,5,spartan,0.2586808168695885
4,5,sax,0.001652892561983471
4,5,sfa,0.13219843999665115
4,5,spartan,0.35869627855666825
5,5,sax,0.001652892561983471
5,5,sfa,0.1763416588754352
5,5,spartan,0.44921256509587904
6,5,sax,0.001652892561983471
6,5,sfa,0.1965156494403761
6,5,spartan,0.5100089222831481
7,5,sax,0.001652892561983471
7,5,sfa,0.21836028350141168
7,5,spartan,0.5573283209682274
8,5,sax,0.001652892561983471
8,5,sfa,0.23373639702859092
8,5,spartan,0.5953720379026525
9,5,sax,0.001652892561983471
9,5,sfa,0.24289750427099818
9,5,spartan,0.6224487852001017
10,5,sax,0.0018315543584676288
10,5,sfa,0.2569059617525527
10,5,spartan,0.6455826332699336
3,6,sax,0.001652892561983471
3,6,sfa,0.10181842803495295
3,6,spartan,0.2707079270626913
4,6,sax,0.001652892561983471
4,6,sfa,0.15223315614827346
4,6,spartan,0.3729411045856078
5,6,sax,0.001652892561983471
5,6,sfa,0.20091464171617532
5,6,spartan,0.46470761289804546
6,6,sax,0.0020864963540782053
6,6,sfa,0.22294448817260393
6,6,spartan,0.5256610805881052
7,6,sax,0.002112184072558668
7,6,sfa,0.24637348511934865
7,6,spartan,0.5734885063091231
8,6,sax,0.0037491337883919324
8,6,sfa,0.26361140955119666
8,6,spartan,0.6110216294134497
9,6,sax,0.008070226234046254
9,6,sfa,0.2753229446642841
9,6,spartan,0.6383028941593278
10,6,sax,0.006609469596470811
10,6,sfa,0.2913086539111651
10,6,spartan,0.6610304428886821
3,7,sax,0.001652892561983471
3,7,sfa,0.1131785343568572
3,7,spartan,0.2745951840880404
4,7,sax,0.001652892561983471
4,7,sfa,0.1675787175289612
4,7,spartan,0.37717447108337016
5,7,sax,0.0018624420461495026
5,7,sfa,0.21454148274598317
5,7,spartan,0.46942938682882535
6,7,sax,0.002500499554993944
6,7,sfa,0.24383404642669704
6,7,spartan,0.5304605934129214
7,7,sax,0.0054041951064726906
7,7,sfa,0.2669009462974542
7,7,spartan,0.5784779660975726
8,7,sax,0.006424697615181995
8,7,sfa,0.2821713681261604
8,7,spartan,0.6162254711832935
9,7,sax,0.01613636678811013
9,7,sfa,0.29941956553601495
9,7,spartan,0.6441577896744661
10,7,sax,0.017643687888532485
10,7,sfa,0.3119290295410095
10,7,spartan,0.6670360708727094
3,8,sax,0.001652892561983471
3,8,sfa,0.12161283161388477
3,8,spartan,0.279920114531764
4,8,sax,0.001652892561983471
4,8,sfa,0.17844472052393487
4,8,spartan,0.3836183962225536
5,8,sax,0.001652892561983471
5,8,sfa,0.2268211385471987
5,8,spartan,0.47584738532008986
6,8,sax,0.0017052582306524005
6,8,sfa,0.2570134855987944
6,8,spartan,0.5372924986250144
7,8,sax,0.001652892561983471
7,8,sfa,0.2803985257934914
7,8,spartan,0.5854677277905336
8,8,sax,0.0022424495064800117
8,8,sfa,0.29730338600576134
8,8,spartan,0.6231799453597601
9,8,sax,0.006962079374484719
9,8,sfa,0.31536657328851464
9,8,spartan,0.6512338587681804
10,8,sax,0.002256332383523513
10,8,sfa,0.3286458955807939
10,8,spartan,0.6740542305853938
