a,w,method,tlb
3,2,sax,0.0013476545123965273
3,2,sfa,0.008132834374129936
3,2,spartan,0.0141070247043553
4,2,sax,0.0029202672032724924
4,2,sfa,0.013622893507254367
4,2,spartan,0.02534511515927593
5,2,sax,0.002495567367088824
5,2,sfa,0.018150814094387027
5,2,spartan,0.03608304358981548
6,2,sax,0.003369377635623186
6,2,sfa,0.02176871362175578
6,2,spartan,0.045322912998341736
7,2,sax,0.00443570592606945
7,2,sfa,0.024905795685842436
7,2,spartan,0.05181184345200851
8,2,sax,0.005989127085546998
8,2,sfa,0.027359416009250875
8,2,spartan,0.05764887320649113
9,2,sax,0.005817695216340169
9,2,sfa,0.029492434175732565
9,2,spartan,inf
10,2,sax,0.007706267117269198
10,2,sfa,0.031960394642212564
10,2,spartan,0.06519849109061641
3,3,sax,0.0014311633604973722
3,3,sfa,0.00976716050084503
3,3,spartan,0.02039772831215962
4,3,sax,0.003697240067095774
4,3,sfa,0.016275253742120105
4,3,spartan,0.03874789990164932
5,3,sax,0.00463993473404577
5,3,sfa,0.02125811026028668
5,3,spartan,0.052361114955105835
6,3,sax,0.009065092471979869
6,3,sfa,0.025472558905265657
6,3,spartan,0.06376608314552495
7,3,sax,0.008919656513224572
7,3,sfa,0.029243708893857523
7,3,spartan,0.07028711436760773
8,3,sax,0.014639880237261739
8,3,sfa,0.03252426983821034
8,3,spartan,0.08110754070496955
9,3,sax,0.014370803370993893
9,3,sfa,0.03524307111242526
9,3,spartan,0.08720907344331802
10,3,sax,0.018870441835607155
10,3,sfa,0.03807540144503387
10,3,spartan,0.09127843881420203
3,4,sax,0.0015296263356856313
3,4,sfa,0.011034757703146303
3,4,spartan,0.027028535343515882
4,4,sax,0.005721733140465197
4,4,sfa,0.01825246944319633
4,4,spartan,0.048804889345640326
5,4,sax,0.00651141171474833
5,4,sfa,0.023765969580523755
5,4,spartan,0.06919755453596227
6,4,sax,0.012561576127899626
6,4,sfa,0.0284182569446911
6,4,spartan,0.08033013563535002
7,4,sax,0.01478287445675466
7,4,sfa,0.032462597107158105
7,4,spartan,0.09150375803068837
8,4,sax,0.020993173188910065
8,4,sfa,0.03611823567807808
8,4,spartan,0.09829066375263815
9,4,sax,0.021535954163501295
9,4,sfa,0.0392195197181576
9,4,spartan,0.10553259971802875
10,4,sax,0.02982621275142018
10,4,sfa,0.04233486664822988
10,4,spartan,inf
3,5,sax,0.00194286493028942
3,5,sfa,0.01206572998563459
3,5,spartan,0.03404298954344046
4,5,sax,0.01057566905316552
4,5,sfa,0.0198224328669269
4,5,spartan,0.06085479985834027
5,5,sax,0.011957501858037387
5,5,sfa,0.025659502515976866
5,5,spartan,0.08187544384661903
6,5,sax,0.022906000103537508
6,5,sfa,0.030893699440459745
6,5,spartan,0.09739406984518811
7,5,sax,0.02251327121997419
7,5,sfa,0.03503199181415453
7,5,spartan,0.1133299821115925
8,5,sax,0.03441621816975019
8,5,sfa,0.039341274896829925
8,5,spartan,0.11693311329522589
9,5,sax,0.03497926537401977
9,5,sfa,0.04264429982261348
9,5,spartan,0.1303740861138894
10,5,sax,0.04490643313091695
10,5,sfa,0.04611101131579821
10,5,spartan,0.13203966634336878
3,6,sax,0.002438560918029606
3,6,sfa,0.01263715263112777
3,6,spartan,0.03799499874084778
4,6,sax,0.014115238168123387
4,6,sfa,0.02074553685704917
4,6,spartan,0.07119996176818409
5,6,sax,0.015543646470883958
5,6,sfa,0.026909414364191243
5,6,spartan,0.09346902766489147
6,6,sax,0.029806189064309194
6,6,sfa,0.03256335525142038
6,6,spartan,0.10913665252782562
7,6,sax,0.029765604996348304
7,6,sfa,0.037008166566788854
7,6,spartan,0.12184360121520471
8,6,sax,0.0429523611666145
8,6,sfa,0.04141733068242874
8,6,spartan,0.13149013005305504
9,6,sax,0.04520644386879011
9,6,sfa,0.045032525598145696
9,6,spartan,0.13960751874157376
10,6,sax,0.054301123426558844
10,6,sfa,0.04881293148053131
10,6,spartan,0.14798082866203038
3,7,sax,0.0033850212900427825
3,7,sfa,0.013421263994082971
3,7,spartan,0.04563461093802663
4,7,sax,0.01937207785363584
4,7,sfa,0.022069274670236273
4,7,spartan,0.07847406471738887
5,7,sax,0.020643921930861207
5,7,sfa,0.028487734677425935
5,7,spartan,0.10231789174872724
6,7,sax,0.04090684092779039
6,7,sfa,0.03443921180719027
6,7,spartan,0.1225075524437182
7,7,sax,0.040233441892091666
7,7,sfa,0.03955129680938626
7,7,spartan,0.13454880195647562
8,7,sax,0.05441922066556643
8,7,sfa,0.04404134332555218
8,7,spartan,0.14655084104327032
9,7,sax,0.058240023230170836
9,7,sfa,0.048117100369766214
9,7,spartan,0.15699080563190146
10,7,sax,0.06696789680413738
10,7,sfa,0.05192966940140365
10,7,spartan,0.16372671523329033
3,8,sax,0.0038225981332118625
3,8,sfa,0.013811414680231018
3,8,spartan,0.04864892443558444
4,8,sax,0.023331136554611484
4,8,sfa,0.022730795745788873
4,8,spartan,0.08883523320304983
5,8,sax,0.023953150279038545
5,8,sfa,0.029555468723376437
5,8,spartan,0.11235379147861335
6,8,sax,0.04599342553747975
6,8,sfa,0.035784356092996836
6,8,spartan,0.13236529170497374
7,8,sax,0.04481721858810304
7,8,sfa,0.04106432639522589
7,8,spartan,0.14730916508258585
8,8,sax,0.059058138807405666
8,8,sfa,0.04583283843620713
8,8,spartan,0.16129503444090593
9,8,sax,0.06363615017984023
9,8,sfa,0.05023356252210229
9,8,spartan,0.1708744775943333
10,8,sax,0.07251482875087231
10,8,sfa,0.054127258435243505
10,8,spartan,0.18036127978964853
