a,w,method,tlb
3,2,sax,0.005623514433987959
3,2,sfa,0.0549615538762807
3,2,spartan,0.10537086981480513
4,2,sax,0.01552158613005402
4,2,sfa,0.09865722239912215
4,2,spartan,0.16600962763976798
5,2,sax,0.019872871088981767
5,2,sfa,0.1254196882662926
5,2,spartan,0.20739306278851996
6,2,sax,0.041705072118440406
6,2,sfa,0.1431448748285369
6,2,spartan,0.2383102112017663
7,2,sax,0.05745572082499443
7,2,sfa,0.15954671283270536
7,2,spartan,0.26179121410655404
8,2,sax,0.06990571448423409
8,2,sfa,0.17339035290401675
8,2,spartan,0.278723613966818
9,2,sax,0.08006161083654684
9,2,sfa,0.18343665474258153
9,2,spartan,0.29481192833975883
10,2,sax,0.09201357052826377
10,2,sfa,0.19388061392308228
10,2,spartan,0.3071843928212789
3,3,sax,0.03228676219654737
3,3,sfa,0.07199765217856549
3,3,spartan,0.13143517484754147
4,3,sax,0.06888047533134364
4,3,sfa,0.12458776815174795
4,3,spartan,0.20702529486857238
5,3,sax,0.10974173566991864
5,3,sfa,0.15457820960489524
5,3,spartan,0.25510484890631197
6,3,sax,0.13588448824516436
6,3,sfa,0.17600755527602052
6,3,spartan,0.28926415693268187
7,3,sax,0.15303298634853973
7,3,sfa,0.19455153269225844
7,3,spartan,0.3166552789754399
8,3,sax,0.17262097630865644
8,3,sfa,0.20985757289077253
8,3,spartan,0.3369377808147583
9,3,sax,0.19371223006566843
9,3,sfa,0.22099559304701596
9,3,spartan,0.35342688943275336
10,3,sax,0.20758810123528965
10,3,sfa,0.23133037148133384
10,3,spartan,0.368791417153337
3,4,sax,0.05075558847784465
3,4,sfa,0.08803435993453118
3,4,spartan,0.15207059063583211
4,4,sax,0.11840228316024494
4,4,sfa,0.14576182014647635
4,4,spartan,0.23495376332772328
5,4,sax,0.16546229107101423
5,4,sfa,0.1796669326213882
5,4,spartan,0.2868610030604464
6,4,sax,0.1928333763549481
6,4,sfa,0.20272766577155096
6,4,spartan,0.3236621858697369
7,4,sax,0.21948456952508116
7,4,sfa,0.22261962678658104
7,4,spartan,0.35335592554930445
8,4,sax,0.24057194945354185
8,4,sfa,0.23936006411918986
8,4,spartan,0.37432491982867794
9,4,sax,0.2622050262279128
9,4,sfa,0.2508268000246091
9,4,spartan,0.3914258159412103
10,4,sax,0.2766596044902014
10,4,sfa,0.2629769998190608
10,4,spartan,0.40790070619199126
3,5,sax,0.06393319984187254
3,5,sfa,0.10028069664804101
3,5,spartan,0.1667795834095737
4,5,sax,0.15217167716828156
4,5,sfa,0.16148580231291468
4,5,spartan,0.254839824507498
5,5,sax,0.20009050462285793
5,5,sfa,0.19892515282003062
5,5,spartan,0.31039839078654363
6,5,sax,0.2343236952465846
6,5,sfa,0.22380654864954133
6,5,spartan,0.3497969490923193
7,5,sax,0.2630549146242584
7,5,sfa,0.24417124482432753
7,5,spartan,0.3804610230208625
8,5,sax,0.2833158932002356
8,5,sfa,0.26130019670474397
8,5,spartan,0.4023806903237903
9,5,sax,0.3039329928018388
9,5,sfa,0.2737577028463299
9,5,spartan,0.4202198494312788
10,5,sax,0.3184691207537762
10,5,sfa,0.28677665348532566
10,5,spartan,0.43823299615868727
3,6,sax,0.079329204661293
3,6,sfa,0.10931431560564808
3,6,spartan,0.18061714073101007
4,6,sax,0.17699427842314044
4,6,sfa,0.17488324417742548
4,6,spartan,0.2733039761785621
5,6,sax,0.23540187420393371
5,6,sfa,0.2141114944817559
5,6,spartan,0.33084235961200203
6,6,sax,0.26913201446848645
6,6,sfa,0.24108385021373743
6,6,spartan,0.3724135468382854
7,6,sax,0.2999254928779197
7,6,sfa,0.26202570158894956
7,6,spartan,0.40385789682216156
8,6,sax,0.3193148932646724
8,6,sfa,0.2802985395578949
8,6,spartan,0.42692883449632996
9,6,sax,0.34617572510924505
9,6,sfa,0.29284182274046205
9,6,spartan,0.4466857244150703
10,6,sax,0.3608169288717818
10,6,sfa,0.30649090635170884
10,6,spartan,0.4650217440369091
3,7,sax,0.09260922844990686
3,7,sfa,0.11746186971519551
3,7,spartan,0.19021604320177066
4,7,sax,0.2011914117830051
4,7,sfa,0.1855603555478457
4,7,spartan,0.28678090502697157
5,7,sax,0.2609444505847925
5,7,sfa,0.225688677878162
5,7,spartan,0.34769309721419733
6,7,sax,0.29638592841395445
6,7,sfa,0.2541017320433016
6,7,spartan,0.3900501990417299
7,7,sax,0.3306921834509013
7,7,sfa,0.2761283691224748
7,7,spartan,0.422513146936562
8,7,sax,0.3532809624561389
8,7,sfa,0.29520164946434924
8,7,spartan,0.44674246894362235
9,7,sax,0.37534074815506435
9,7,sfa,0.3076341900042171
9,7,spartan,0.46778761298258603
10,7,sax,0.3920837190704703
10,7,sfa,0.32203049934050926
10,7,spartan,0.4865290685311776
3,8,sax,0.1066313817723752
3,8,sfa,0.12460789469376193
3,8,spartan,0.1992419577204893
4,8,sax,0.21184390931769082
4,8,sfa,0.19419549935594377
4,8,spartan,0.2994219390666435
5,8,sax,0.2764041902369255
5,8,sfa,0.23616536157834256
5,8,spartan,0.3626422774182882
6,8,sax,0.313913779527067
6,8,sfa,0.26631498133329445
6,8,spartan,0.40561650804309257
7,8,sax,0.34536819419082204
7,8,sfa,0.2892106323458921
7,8,spartan,0.4395502425360315
8,8,sax,0.3694275979762237
8,8,sfa,0.30849539594760905
8,8,spartan,0.4641907199294762
9,8,sax,0.3921293227378268
9,8,sfa,0.32140862278944693
9,8,spartan,0.4856751395271621
10,8,sax,0.41001654290559386
10,8,sfa,0.3361590968526147
10,8,spartan,0.5059196621913843
