a,w,method,tlb
3,2,sax,0.0011111111111111111
3,2,sfa,0.03428063230767245
3,2,spartan,0.06193184561172373
4,2,sax,0.0011111111111111111
4,2,sfa,0.05369115920514784
4,2,spartan,0.10417349592213818
5,2,sax,0.0011111111111111111
5,2,sfa,0.0687679107560761
5,2,spartan,0.1265064947429121
6,2,sax,0.007111514115813015
6,2,sfa,0.07860071584840543
6,2,spartan,0.14806922487957647
7,2,sax,0.003729117938459736
7,2,sfa,0.08676056373861435
7,2,spartan,0.16134619182341078
8,2,sax,0.021730511327355217
8,2,sfa,0.09472167791401437
8,2,spartan,0.1733538881732845
9,2,sax,0.014766050506041612
9,2,sfa,0.09840172249191614
9,2,spartan,0.18256565884715673
10,2,sax,0.027956658779187852
10,2,sfa,0.1025111701600248
10,2,spartan,0.1880920320367839
3,3,sax,0.0011111111111111111
3,3,sfa,0.03906969969750494
3,3,spartan,0.0838696578438053
4,3,sax,0.0011499261232961557
4,3,sfa,0.06159225786577313
4,3,spartan,0.13573744815283037
5,3,sax,0.009019089333936461
5,3,sfa,0.07781732272443893
5,3,spartan,0.16400961680752577
6,3,sax,0.016354885200047894
6,3,sfa,0.08870086972709555
6,3,spartan,0.18956024023888773
7,3,sax,0.022652828357898055
7,3,sfa,0.0966922044998798
7,3,spartan,0.20597224845590623
8,3,sax,0.0298952747324368
8,3,sfa,0.10495095045938041
8,3,spartan,0.21901686988480581
9,3,sax,0.04094917087525544
9,3,sfa,0.10906344757714898
9,3,spartan,0.22966161433660998
10,3,sax,0.05126515088740839
10,3,sfa,0.1130955680533345
10,3,spartan,0.23662112295820542
3,4,sax,0.0016380539536041678
3,4,sfa,0.044211355090652535
3,4,spartan,0.0915639965181421
4,4,sax,0.0020160325029863744
4,4,sfa,0.06791732515063983
4,4,spartan,0.14642275812723793
5,4,sax,0.012770608697479638
5,4,sfa,0.08466693274051007
5,4,spartan,0.1760610658078547
6,4,sax,0.018876253535919724
6,4,sfa,0.09605720631860065
6,4,spartan,0.20242802227796677
7,4,sax,0.034788519727603696
7,4,sfa,0.10417514621000735
7,4,spartan,0.21964656688440778
8,4,sax,0.04716269981405704
8,4,sfa,0.11246929861193543
8,4,spartan,0.23362169240671113
9,4,sax,0.05336654682493376
9,4,sfa,0.11695237269444568
9,4,spartan,0.2444817746656495
10,4,sax,0.06563171825515561
10,4,sfa,0.1210459251328342
10,4,spartan,0.25202222710889877
3,5,sax,0.001521479303844353
3,5,sfa,0.04549326126410014
3,5,spartan,0.09926028597795168
4,5,sax,0.004310615243059002
4,5,sfa,0.06946309162555771
4,5,spartan,0.1573011730443978
5,5,sax,0.011750107267588463
5,5,sfa,0.08657138325363187
5,5,spartan,0.18950807578978782
6,5,sax,0.030553035398979526
6,5,sfa,0.09771522718963706
6,5,spartan,0.21743405661170212
7,5,sax,0.03402929544565971
7,5,sfa,0.10591383267385913
7,5,spartan,0.23545156967596015
8,5,sax,0.05542882356144625
8,5,sfa,0.11445164649540493
8,5,spartan,0.2496362415032529
9,5,sax,0.06470807194193538
9,5,sfa,0.11931758819399432
9,5,spartan,0.26050608890456334
10,5,sax,0.07541777956931867
10,5,sfa,0.12315315529641664
10,5,spartan,0.26887352565949635
3,6,sax,0.001730852418744763
3,6,sfa,0.04753426131570929
3,6,spartan,0.10218291376045338
4,6,sax,0.004645554481598929
4,6,sfa,0.07186565067373815
4,6,spartan,0.160400995231781
5,6,sax,0.018682401567515407
5,6,sfa,0.08900288912807852
5,6,spartan,0.19287998687029229
6,6,sax,0.031512517225551276
6,6,sfa,0.10044446455354226
6,6,spartan,0.2209568472098035
7,6,sax,0.04490004540582986
7,6,sfa,0.10894433152596279
