a,w,method,tlb
3,2,sax,0.0011111111111111111
3,2,sfa,0.03428063230767247
3,2,spartan,0.06193184561172378
4,2,sax,0.0011111111111111111
4,2,sfa,0.053691159205147866
4,2,spartan,0.10417349592213822
5,2,sax,0.0011111111111111111
5,2,sfa,0.06876791075607613
5,2,spartan,0.12650649474291212
6,2,sax,0.007111514115813016
6,2,sfa,0.07860071584840543
6,2,spartan,0.1480692248795765
7,2,sax,0.003729117938459735
7,2,sfa,0.08676056373861434
7,2,spartan,0.16134619182341078
8,2,sax,0.021730511327355206
8,2,sfa,0.09472167791401442
8,2,spartan,0.1733538881732846
9,2,sax,0.014766050506041607
9,2,sfa,0.09840172249191609
9,2,spartan,0.18256565884715673
10,2,sax,0.02795665877918787
10,2,sfa,0.1025111701600249
10,2,spartan,0.1880920320367838
3,3,sax,0.0011111111111111111
3,3,sfa,0.03906969969750494
3,3,spartan,0.08386965784380526
4,3,sax,0.001149926123296156
4,3,sfa,0.06159225786577317
4,3,spartan,0.13573744815283031
5,3,sax,0.00901908933393646
5,3,sfa,0.07781732272443893
5,3,spartan,0.16400961680752574
6,3,sax,0.016354885200047888
6,3,sfa,0.08870086972709558
6,3,spartan,0.18956024023888787
7,3,sax,0.022652828357898086
7,3,sfa,0.0966922044998798
7,3,spartan,0.20597224845590614
8,3,sax,0.029895274732436795
8,3,sfa,0.10495095045938042
8,3,spartan,0.21901686988480573
9,3,sax,0.04094917087525541
9,3,sfa,0.10906344757714896
9,3,spartan,0.22966161433660992
10,3,sax,0.051265150887408364
10,3,sfa,0.11309556805333446
10,3,spartan,0.2366211229582053
3,4,sax,0.001638053953604168
3,4,sfa,0.044211355090652535
3,4,spartan,0.09158606661760804
4,4,sax,0.002016032502986375
4,4,sfa,0.0679173251506398
4,4,spartan,0.14645321398800296
5,4,sax,0.012770608697479636
5,4,sfa,0.08466693274051007
5,4,spartan,0.17612712489498078
6,4,sax,0.01887625353591973
6,4,sfa,0.0960572063186007
6,4,spartan,0.2024801372342122
7,4,sax,0.03478851972760369
7,4,sfa,0.10417514621000726
7,4,spartan,0.21959697818260795
8,4,sax,0.04716269981405704
8,4,sfa,0.11246929861193546
8,4,spartan,0.23361872832927233
9,4,sax,0.053366546824933726
9,4,sfa,0.11695237269444568
9,4,spartan,0.2444638760298091
10,4,sax,0.06563171825515564
10,4,sfa,0.1210459251328342
10,4,spartan,0.2520494254073091
3,5,sax,0.0015214793038443523
3,5,sfa,0.04549326126410014
3,5,spartan,0.09926668241276548
4,5,sax,0.004310615243059001
4,5,sfa,0.0694630916255577
4,5,spartan,0.15727625933082148
5,5,sax,0.011750107267588464
5,5,sfa,0.08657138325363185
5,5,spartan,0.1895232703538081
6,5,sax,0.03055303539897954
6,5,sfa,0.09771522718963704
6,5,spartan,0.217420568429069
7,5,sax,0.034029295445659705
7,5,sfa,0.1059138326738591
7,5,spartan,0.2354039289597887
8,5,sax,0.05542882356144622
8,5,sfa,0.11445164649540496
8,5,spartan,0.24969762184562178
9,5,sax,0.06470807194193538
9,5,sfa,0.11931758819399439
9,5,spartan,0.26050726649221817
10,5,sax,0.0754177795693187
10,5,sfa,0.12315315529641663
10,5,spartan,0.2689189076339019
3,6,sax,0.0017308524187447645
3,6,sfa,0.0475342613157093
3,6,spartan,0.10220940339436704
4,6,sax,0.004645554481598929
4,6,sfa,0.07186565067373817
4,6,spartan,0.16046782077748667
5,6,sax,0.018682401567515414
5,6,sfa,0.08900288912807852
5,6,spartan,0.19282258826198942
6,6,sax,0.03151251722555126
6,6,sfa,0.10044446455354224
6,6,spartan,0.22098325652877196
7,6,sax,0.044900045405829876
7,6,sfa,0.10894433152596279
