a,w,method,tlb
3,2,sax,0.0011111111111111111
3,2,sfa,0.034280632307672455
3,2,spartan,0.06193184561172373
4,2,sax,0.0011111111111111111
4,2,sfa,0.053691159205147845
4,2,spartan,0.10417349592213815
5,2,sax,0.0011111111111111111
5,2,sfa,0.06876791075607613
5,2,spartan,0.1265064947429121
6,2,sax,0.007111514115813014
6,2,sfa,0.07860071584840544
6,2,spartan,0.14806922487957638
7,2,sax,0.003729117938459736
7,2,sfa,0.08676056373861438
7,2,spartan,0.16134619182341078
8,2,sax,0.021730511327355206
8,2,sfa,0.0947216779140144
8,2,spartan,0.17335388817328448
9,2,sax,0.014766050506041614
9,2,sfa,0.09840172249191614
9,2,spartan,0.18256565884715673
10,2,sax,0.02795665877918786
10,2,sfa,0.10251117016002485
10,2,spartan,0.18809203203678368
3,3,sax,0.0011111111111111111
3,3,sfa,0.039069699697504956
3,3,spartan,0.08386965784380526
4,3,sax,0.0011499261232961562
4,3,sfa,0.06159225786577318
4,3,spartan,0.13573744815283031
5,3,sax,0.00901908933393646
5,3,sfa,0.07781732272443893
5,3,spartan,0.16400961680752574
6,3,sax,0.016354885200047884
6,3,sfa,0.0887008697270956
6,3,spartan,0.18956024023888787
7,3,sax,0.02265282835789808
7,3,sfa,0.0966922044998798
7,3,spartan,0.2059722484559061
8,3,sax,0.029895274732436798
8,3,sfa,0.10495095045938042
8,3,spartan,0.2190168698848058
9,3,sax,0.040949170875255424
9,3,sfa,0.109063447577149
9,3,spartan,0.22966161433660995
10,3,sax,0.05126515088740841
10,3,sfa,0.11309556805333454
10,3,spartan,0.23662112295820542
3,4,sax,0.0016380539536041683
3,4,sfa,0.04421135509065253
3,4,spartan,0.0915643466805369
4,4,sax,0.0020160325029863744
4,4,sfa,0.06791732515063983
4,4,spartan,0.14642008621891206
5,4,sax,0.012770608697479632
5,4,sfa,0.08466693274051011
5,4,spartan,0.17609777792950757
6,4,sax,0.01887625353591972
6,4,sfa,0.09605720631860065
6,4,spartan,0.2024331076624931
7,4,sax,0.034788519727603676
7,4,sfa,0.10417514621000733
7,4,spartan,0.21960011665901266
8,4,sax,0.04716269981405705
8,4,sfa,0.11246929861193546
8,4,spartan,0.23360522258470912
9,4,sax,0.05336654682493376
9,4,sfa,0.11695237269444561
9,4,spartan,0.24445781077221226
10,4,sax,0.06563171825515558
10,4,sfa,0.12104592513283413
10,4,spartan,0.25209265506915723
3,5,sax,0.0015214793038443534
3,5,sfa,0.04549326126410016
3,5,spartan,0.0993134656374733
4,5,sax,0.004310615243059
4,5,sfa,0.06946309162555775
4,5,spartan,0.15727384757237778
5,5,sax,0.011750107267588468
5,5,sfa,0.08657138325363183
5,5,spartan,0.18950172682462155
6,5,sax,0.030553035398979512
6,5,sfa,0.09771522718963707
6,5,spartan,0.21740059474786383
7,5,sax,0.03402929544565974
7,5,sfa,0.10591383267385919
7,5,spartan,0.23542574052259468
8,5,sax,0.05542882356144622
8,5,sfa,0.11445164649540496
8,5,spartan,0.24966384324171967
9,5,sax,0.06470807194193536
9,5,sfa,0.11931758819399439
9,5,spartan,0.26057101207855415
10,5,sax,0.07541777956931864
10,5,sfa,0.12315315529641659
10,5,spartan,0.2689120441769836
3,6,sax,0.001730852418744764
3,6,sfa,0.047534261315709266
3,6,spartan,0.10216210141097248
4,6,sax,0.004645554481598931
4,6,sfa,0.0718656506737382
4,6,spartan,0.1603668372518291
5,6,sax,0.018682401567515414
5,6,sfa,0.08900288912807854
5,6,spartan,0.19287400137118507
6,6,sax,0.031512517225551276
6,6,sfa,0.10044446455354225
6,6,spartan,0.22094830949701547
7,6,sax,0.04490004540582985
7,6,sfa,0.10894433152596276
7,6,spartan,0.2391442402093639
8,6,sax,0.05986894517627161
8,6,sfa,0.1175390395703254
8,6,spartan,0.2534658245858075
9,6,sax,0.06875919391538063
9,6,sfa,0.12251860023528778
9,6,spartan,0.26450123586417223
10,6,sax,0.08264155565586098
10,6,sfa,0.12655154779964087
10,6,spartan,0.27283455770465603
3,7,sax,0.0019644687033880995
3,7,sfa,0.04906515556547828
3,7,spartan,0.10587185648923643
4,7,sax,0.006442776233551883
4,7,sfa,0.0742294192788788
4,7,spartan,0.16470528468769996
5,7,sax,0.021503666296621617
5,7,sfa,0.09117476983831409
5,7,spartan,0.19723864531202728
6,7,sax,0.036617482973279256
6,7,sfa,0.10276514584342952
6,7,spartan,0.22569778807719726
7,7,sax,0.053202052236937816
7,7,sfa,0.11126967862156241
7,7,spartan,0.24385585107066285
8,7,sax,0.07268894286367357
8,7,sfa,0.12030802211541303
8,7,spartan,0.2586308272465115
9,7,sax,0.0804014079143475
9,7,sfa,0.12493899292959208
9,7,spartan,0.2700181654477124
10,7,sax,0.08953680602374813
10,7,sfa,0.1293886350253619
10,7,spartan,0.2784468527014823
3,8,sax,0.0021469675895605207
3,8,sfa,0.050365839374919535
3,8,spartan,0.10968899493289656
4,8,sax,0.010536024039623906
4,8,sfa,0.07561683188281446
4,8,spartan,0.16891169985114035
5,8,sax,0.026490103364058208
5,8,sfa,0.09256685034250509
5,8,spartan,0.20166168889581032
6,8,sax,0.04592081448810792
6,8,sfa,0.10422029116744054
6,8,spartan,0.2304881133834343
7,8,sax,0.060202712340616464
7,8,sfa,0.11291321793153224
7,8,spartan,0.2491701043377344
8,8,sax,0.07708204117478933
8,8,sfa,0.12197334192392982
8,8,spartan,0.2641292016728221
9,8,sax,0.08917431504760734
9,8,sfa,0.12663170755850192
9,8,spartan,0.2755626289148509
10,8,sax,0.10016636872825953
10,8,sfa,0.1310944124887191
10,8,spartan,0.2842984454949539
