a,w,method,tlb
3,2,sax,0.011275691159710777
3,2,sfa,0.04185321479802457
3,2,spartan,0.07084583984009354
4,2,sax,0.026475378569276977
4,2,sfa,0.06638094271673267
4,2,spartan,0.14853433412929637
5,2,sax,0.013471180199389704
5,2,sfa,0.08637712487709463
5,2,spartan,0.18462495538897697
6,2,sax,0.039589476287873925
6,2,sfa,0.09966666391486512
6,2,spartan,0.2228855986025454
7,2,sax,0.05186214443480351
7,2,sfa,0.10897569923753854
7,2,spartan,0.25733410202355916
8,2,sax,0.05908826836322207
8,2,sfa,0.11461391280880398
8,2,spartan,0.2908125444094644
9,2,sax,0.07817447768479299
9,2,sfa,0.13004469813960604
9,2,spartan,0.29517797464282425
10,2,sax,0.06882645066370428
10,2,sfa,0.13790824904169943
10,2,spartan,0.3036568661439061
3,3,sax,0.017343559371412253
3,3,sfa,0.060570209381367736
3,3,spartan,0.09636467686642947
4,3,sax,0.05349598989461587
4,3,sfa,0.10110750512755429
4,3,spartan,0.18598545428121857
5,3,sax,0.07240054542939627
5,3,sfa,0.1273828261245937
5,3,spartan,0.22493823296786314
6,3,sax,0.07936458413022357
6,3,sfa,0.14496511134508525
6,3,spartan,0.2715631708466356
7,3,sax,0.10601743418158642
7,3,sfa,0.15660510323668958
7,3,spartan,0.3051485005276967
8,3,sax,0.12928274450350533
8,3,sfa,0.1663510427062631
8,3,spartan,0.342026709404018
9,3,sax,0.1314574680002692
9,3,sfa,0.18046963960748855
9,3,spartan,0.3574203295194684
10,3,sax,0.1505774807514822
10,3,sfa,0.1927619987061084
10,3,spartan,0.37084844101443587
3,4,sax,0.057564472983574845
3,4,sfa,0.07242191771715928
3,4,spartan,0.11962238750011124
4,4,sax,0.12164194364554355
4,4,sfa,0.11946023012586206
4,4,spartan,0.2138534963625013
5,4,sax,0.13444410426073256
5,4,sfa,0.14886713462996065
5,4,spartan,0.2622108667719603
6,4,sax,0.17065272736898113
6,4,sfa,0.17061882191671496
6,4,spartan,0.31784833380746624
7,4,sax,0.18924628147795491
7,4,sfa,0.1844936857356579
7,4,spartan,0.3490946893780466
8,4,sax,0.21792300237654122
8,4,sfa,0.19497156978300156
8,4,spartan,0.38373518755658226
9,4,sax,0.2276364138206242
9,4,sfa,0.2112103860435097
9,4,spartan,0.3988534108682675
10,4,sax,0.24184026405570203
10,4,sfa,0.2269363082694917
10,4,spartan,0.4202262906645981
3,5,sax,0.07549589564014364
3,5,sfa,0.08761586568701853
3,5,spartan,0.1457704110224713
4,5,sax,0.15548500305344073
4,5,sfa,0.14454994688342873
4,5,spartan,0.24464838501170721
5,5,sax,0.19682463160952116
5,5,sfa,0.17432583288134196
5,5,spartan,0.2958145872687647
6,5,sax,0.228356942755414
6,5,sfa,0.19623224457315042
6,5,spartan,0.35432414397260686
7,5,sax,0.2584977283110082
7,5,sfa,0.21254923331238962
7,5,spartan,0.38641489505224974
8,5,sax,0.2810735289454049
8,5,sfa,0.22409575104704335
8,5,spartan,0.42096435927515213
9,5,sax,0.304513246407066
9,5,sfa,0.24271316226877676
9,5,spartan,0.43676253326780007
10,5,sax,0.31166070397056617
10,5,sfa,0.26084616486773293
10,5,spartan,0.46012216399480704
3,6,sax,0.10509152387814161
3,6,sfa,0.09501143266345104
3,6,spartan,0.1572122865451187
4,6,sax,0.1743903561996528
4,6,sfa,0.16236913448969828
4,6,spartan,0.2602755036028919
5,6,sax,0.24614169248660683
5,6,sfa,0.19216156719124058
5,6,spartan,0.3165990230143861
6,6,sax,0.2777294167016213
6,6,sfa,0.21648833093361328
6,6,spartan,0.378210659398159
