a,w,method,tlb
3,2,sax,0.005
3,2,sfa,0.012625178977843297
3,2,spartan,0.03321646421082145
4,2,sax,0.005
4,2,sfa,0.018037570064142822
4,2,spartan,0.0510645439992534
5,2,sax,0.005
5,2,sfa,0.02283959998953434
5,2,spartan,0.0696279433607284
6,2,sax,0.005
6,2,sfa,0.025816410979552607
6,2,spartan,0.07884458208839296
7,2,sax,0.005
7,2,sfa,0.0276607699529247
7,2,spartan,0.0879102264348815
8,2,sax,0.005
8,2,sfa,0.028747523406812296
8,2,spartan,0.0923590371096995
9,2,sax,0.005
9,2,sfa,0.0301026835106823
9,2,spartan,0.09653454018059097
10,2,sax,0.005
10,2,sfa,0.03146671725773327
10,2,spartan,0.10095442056127615
3,3,sax,0.005
3,3,sfa,0.015766637057336847
3,3,spartan,0.048702227507544174
4,3,sax,0.005
4,3,sfa,0.022807605994833807
4,3,spartan,0.06984982340340314
5,3,sax,0.005
5,3,sfa,0.028567294696021515
5,3,spartan,0.09205432601990717
6,3,sax,0.005
6,3,sfa,0.03215533765490298
6,3,spartan,0.10432814475305359
7,3,sax,0.005
7,3,sfa,0.03424170205312716
7,3,spartan,0.11407926466473019
8,3,sax,0.005
8,3,sfa,0.03582911746386706
8,3,spartan,0.11913882153519358
9,3,sax,0.005272111286341752
9,3,sfa,0.03794968714981411
9,3,spartan,0.124978304104745
10,3,sax,0.005
10,3,sfa,0.03906131069421289
10,3,spartan,0.13063286087045703
3,4,sax,0.005
3,4,sfa,0.01908718784831351
3,4,spartan,0.05838157411462233
4,4,sax,0.005
4,4,sfa,0.02759634971428077
4,4,spartan,0.08492523811353854
5,4,sax,0.005
5,4,sfa,0.03372847265926747
5,4,spartan,0.10993556268696525
6,4,sax,0.005
6,4,sfa,0.03777524676303729
6,4,spartan,0.1236861916519081
7,4,sax,0.005089211665203725
7,4,sfa,0.04052748031415281
7,4,spartan,0.13363323486597878
8,4,sax,0.005
8,4,sfa,0.04250074291151005
8,4,spartan,0.139725348944802
9,4,sax,0.0064331983190122925
9,4,sfa,0.0449493473752584
9,4,spartan,0.14788377748229564
10,4,sax,0.005
10,4,sfa,0.046051326977185635
10,4,spartan,0.15369443771437444
3,5,sax,0.005
3,5,sfa,0.021623202535041502
3,5,spartan,0.06748101011890358
4,5,sax,0.005
4,5,sfa,0.03134502758001996
4,5,spartan,0.09824432761636255
5,5,sax,0.005
5,5,sfa,0.03812558321143606
5,5,spartan,0.1252601228393265
6,5,sax,0.005
6,5,sfa,0.04231818713047622
6,5,spartan,0.14015792361328366
7,5,sax,0.005549408811453597
7,5,sfa,0.045412198212671805
7,5,spartan,0.1502880566502463
8,5,sax,0.005
8,5,sfa,0.04782509312346297
8,5,spartan,0.15837595056559609
9,5,sax,0.00819705727740353
9,5,sfa,0.05052822503687901
9,5,spartan,0.1670036519291038
10,5,sax,0.005407496780844466
10,5,sfa,0.0516970314203708
10,5,spartan,0.17284465925500614
3,6,sax,0.005
3,6,sfa,0.02317583189605441
3,6,spartan,0.07463975242356924
4,6,sax,0.005
4,6,sfa,0.033954170754692474
4,6,spartan,0.10836246226214621
5,6,sax,0.005115757879311618
5,6,sfa,0.041192628469247546
5,6,spartan,0.13768375417110745
6,6,sax,0.005
6,6,sfa,0.045857519845815875
6,6,spartan,0.15413971792976738
7,6,sax,0.006923041495362669
7,6,sfa,0.0490969994218325
7,6,spartan,0.16536709027478136
8,6,sax,0.005
8,6,sfa,0.051691881469625264
8,6,spartan,0.1745304850821881
9,6,sax,0.012626704943448376
9,6,sfa,0.054384234425615054
9,6,spartan,0.1830306515128318
10,6,sax,0.01018486714191739
10,6,sfa,0.05570029815598179
10,6,spartan,0.19005306840647612
3,7,sax,0.005
3,7,sfa,0.025217183773579704
3,7,spartan,0.08188036391404391
4,7,sax,0.005
4,7,sfa,0.036663921913720844
4,7,spartan,0.11822486414965097
5,7,sax,0.005378546278389153
5,7,sfa,0.04437664114022011
5,7,spartan,0.14919998855963812
6,7,sax,0.005
6,7,sfa,0.04947295821945944
6,7,spartan,0.16715273626516422
7,7,sax,0.007955114839120586
7,7,sfa,0.05295929860013142
7,7,spartan,0.17897033949487026
8,7,sax,0.007975651658206056
8,7,sfa,0.055436382814773366
8,7,spartan,0.1891765358338581
9,7,sax,0.015371922130210084
9,7,sfa,0.05848539604054964
9,7,spartan,0.19743124784091384
10,7,sax,0.017211388266845536
10,7,sfa,0.059824237189010476
10,7,spartan,0.20504435030285553
3,8,sax,0.005
3,8,sfa,0.02703126253441827
3,8,spartan,0.08818846672440894
4,8,sax,0.005
4,8,sfa,0.03922836656162467
4,8,spartan,0.127258997376501
5,8,sax,0.005705555190317141
5,8,sfa,0.047489569784491134
5,8,spartan,0.1602028968454695
6,8,sax,0.005
6,8,sfa,0.05272496376076152
6,8,spartan,0.1792174763924161
7,8,sax,0.012231614405397474
7,8,sfa,0.056619223599045074
7,8,spartan,0.19117279901379208
8,8,sax,0.013203990995228725
8,8,sfa,0.05926892528374002
8,8,spartan,0.20205337485740396
9,8,sax,0.021889989821118547
9,8,sfa,0.062310768571858924
9,8,spartan,0.2112113091510618
10,8,sax,0.022156771487092396
10,8,sfa,0.06395872801284806
10,8,spartan,0.2188306115138861
