a,w,method,tlb
3,2,sax,0.0013333333333333333
3,2,sfa,0.011987557561184607
3,2,spartan,0.008683040901080491
4,2,sax,0.0013333333333333333
4,2,sfa,0.019379563763338728
4,2,spartan,0.013971595720279664
5,2,sax,0.0013333333333333333
5,2,sfa,0.02424164865326508
5,2,spartan,0.018363023310859244
6,2,sax,0.0013333333333333333
6,2,sfa,0.027632494867118162
6,2,spartan,0.023724107184963476
7,2,sax,0.0013360311709941638
7,2,sfa,0.030309663658869154
7,2,spartan,0.025944691778232994
8,2,sax,0.0013333333333333333
8,2,sfa,0.0327814555790374
8,2,spartan,0.03007527007875136
9,2,sax,0.001345781929291704
9,2,sfa,0.03446886133481335
9,2,spartan,inf
10,2,sax,0.0016144183640439112
10,2,sfa,0.03569257418974942
10,2,spartan,0.035733229027724904
3,3,sax,0.0013333333333333333
3,3,sfa,0.017207462103006756
3,3,spartan,0.011499624766603834
4,3,sax,0.0013333333333333333
4,3,sfa,0.026177112192444243
4,3,spartan,0.02070150868419322
5,3,sax,0.001338405883664288
5,3,sfa,0.03243076623068534
5,3,spartan,0.026392518556818744
6,3,sax,0.0013333333333333333
6,3,sfa,0.03655231613064406
6,3,spartan,0.0312704436230376
7,3,sax,0.0013989948329484342
7,3,sfa,0.03973008020554963
7,3,spartan,inf
8,3,sax,0.0021940165219111953
8,3,sfa,0.04271675822849843
8,3,spartan,inf
9,3,sax,0.002001154888539072
9,3,sfa,0.044721106236286855
9,3,spartan,inf
10,3,sax,0.0030253781000840778
10,3,sfa,0.04641721499468108
10,3,spartan,inf
3,4,sax,0.0013333333333333333
3,4,sfa,0.020338198985487232
3,4,spartan,0.015473469043795473
4,4,sax,0.0013333333333333333
4,4,sfa,0.030567034683113167
4,4,spartan,0.02853063663365267
5,4,sax,0.00137414997066977
5,4,sfa,0.03770123821326729
5,4,spartan,0.03569080820436342
6,4,sax,0.0030989343880911666
6,4,sfa,0.04228984621334186
6,4,spartan,0.04452717523436342
7,4,sax,0.0016577751160497987
7,4,sfa,0.046112252659595766
7,4,spartan,inf
8,4,sax,0.004415231921742764
8,4,sfa,0.04920270462887676
8,4,spartan,inf
9,4,sax,0.004239290990839009
9,4,sfa,0.05141849680423773
9,4,spartan,inf
10,4,sax,0.009662208196696703
10,4,sfa,0.05347730434790343
10,4,spartan,inf
3,5,sax,0.0013333333333333333
3,5,sfa,0.023642257656555064
3,5,spartan,0.018350043534284984
4,5,sax,0.0013333333333333333
4,5,sfa,0.03517395794464253
4,5,spartan,0.033428471749266386
5,5,sax,0.0014416773764011083
5,5,sfa,0.04324472209771377
5,5,spartan,0.04293428892648993
6,5,sax,0.004633792820587604
6,5,sfa,0.04832816352266003
6,5,spartan,0.05186993444556147
7,5,sax,0.004258518965914376
7,5,sfa,0.052626852273168996
7,5,spartan,0.05878875166133985
8,5,sax,0.011444251708423848
8,5,sfa,0.055849325871168996
8,5,spartan,inf
9,5,sax,0.006711095761982615
9,5,sfa,0.05830661364115864
9,5,spartan,inf
10,5,sax,0.022469580306801597
10,5,sfa,0.06041974413481907
10,5,spartan,inf
3,6,sax,0.0013505550724060129
3,6,sfa,0.02728602740033705
3,6,spartan,0.022925530688590847
4,6,sax,0.003512507067267297
4,6,sfa,0.03957963238495644
4,6,spartan,0.03837972018821904
5,6,sax,0.001561593774859726
5,6,sfa,0.04823681600042387
5,6,spartan,0.05310394758316362
6,6,sax,0.011407319458093264
6,6,sfa,0.05403148743899298
6,6,spartan,0.06338116628277866
7,6,sax,0.005592645347401319
7,6,sfa,0.05852717621857198
7,6,spartan,0.07127735584353183
8,6,sax,0.026043972428595085
8,6,sfa,0.061856350156050385
8,6,spartan,0.07625424959599801
9,6,sax,0.013922707272082346
9,6,sfa,0.06466235517444878
9,6,spartan,0.08733668650660358
10,6,sax,0.039494658886904344
10,6,sfa,0.06697478598887985
10,6,spartan,inf
3,7,sax,0.001369303081741466
3,7,sfa,0.030242404941724536
3,7,spartan,0.027041367229019408
4,7,sax,0.005264884658764682
4,7,sfa,0.04357257692911154
4,7,spartan,0.04784743512613523
5,7,sax,0.00378638279673699
5,7,sfa,0.05293112299430439
5,7,spartan,0.05900043708644782
6,7,sax,0.0231949177007376
6,7,sfa,0.0591298909709964
6,7,spartan,0.07131327619352794
7,7,sax,0.009762040925934261
7,7,sfa,0.06404543373536412
7,7,spartan,0.08206807398513948
8,7,sax,0.039582689728288024
8,7,sfa,0.06760106865558786
8,7,spartan,0.09110686305193695
9,7,sax,0.02348910606054072
9,7,sfa,0.07057551370423765
9,7,spartan,inf
10,7,sax,0.05198430505298348
10,7,sfa,0.0730506967844396
10,7,spartan,inf
3,8,sax,0.0013333333333333333
3,8,sfa,0.03297361221805428
3,8,spartan,0.030999847436122416
4,8,sax,0.007832693336249467
4,8,sfa,0.04715733148357955
4,8,spartan,0.05275773580406968
5,8,sax,0.004345738834239045
5,8,sfa,0.05708921744268167
5,8,spartan,0.07009875754044467
6,8,sax,0.031100421757892745
6,8,sfa,0.06355460313486273
6,8,spartan,0.08135700522148792
7,8,sax,0.01626840785082169
7,8,sfa,0.06879538818706295
7,8,spartan,0.09004858937333197
8,8,sax,0.05299547291513292
8,8,sfa,0.0725889813947904
8,8,spartan,inf
9,8,sax,0.03088788176391619
9,8,sfa,0.07573977178613678
9,8,spartan,inf
10,8,sax,0.06225422710970675
10,8,sfa,0.07841016929924578
10,8,spartan,inf
