a,w,method,tlb
3,2,sax,0.018092582078793874
3,2,sfa,0.05538457180625671
3,2,spartan,0.09321722385612169
4,2,sax,0.02241181526076565
4,2,sfa,0.09797935049153626
4,2,spartan,0.1681771815688622
5,2,sax,0.05611184547472483
5,2,sfa,0.12639510691159656
5,2,spartan,0.2048320904139591
6,2,sax,0.07422795413739884
6,2,sfa,0.14495563139500553
6,2,spartan,0.23376067825207658
7,2,sax,0.10172621640803062
7,2,sfa,0.16116268539107056
7,2,spartan,0.2579937608142685
8,2,sax,0.11563633629148612
8,2,sfa,0.171489775907849
8,2,spartan,0.27814300570605877
9,2,sax,0.12953260182184684
9,2,sfa,0.18333867607219104
9,2,spartan,0.2932884093038341
10,2,sax,0.14588439380970517
10,2,sfa,0.19077105892435575
10,2,spartan,0.3041335667137124
3,3,sax,0.05141817432622447
3,3,sfa,0.07206354048310236
3,3,spartan,0.12294759598207936
4,3,sax,0.10472156272826122
4,3,sfa,0.12169620499621979
4,3,spartan,0.20903037703737926
5,3,sax,0.13000213457421816
5,3,sfa,0.15778161542704988
5,3,spartan,0.2558225161202883
6,3,sax,0.15828465142677176
6,3,sfa,0.17948809530196233
6,3,spartan,0.28982308859284606
7,3,sax,0.1819962423494859
7,3,sfa,0.19775278909648106
7,3,spartan,0.31861084878169643
8,3,sax,0.20828236972715455
8,3,sfa,0.20977732345106406
8,3,spartan,0.3412503500825744
9,3,sax,0.2212506140712607
9,3,sfa,0.22374033545244226
9,3,spartan,0.3591384279275831
10,3,sax,0.24086257490508498
10,3,sfa,0.23384607235315719
10,3,spartan,0.3703718587266036
3,4,sax,0.10862616104288111
3,4,sfa,0.09482036555561679
3,4,spartan,0.14957458387607056
4,4,sax,0.17232184707938158
4,4,sfa,0.15190815077093955
4,4,spartan,0.2484343187424759
5,4,sax,0.22282703642852839
5,4,sfa,0.19277893918788477
5,4,spartan,0.30078818340397684
6,4,sax,0.2664227876821091
6,4,sfa,0.2190997912242194
6,4,spartan,0.3371714615856135
7,4,sax,0.29783962505967804
7,4,sfa,0.23939713605115193
7,4,spartan,0.36992100527267224
8,4,sax,0.32302697679472503
8,4,sfa,0.2547231159696587
8,4,spartan,0.3923662516490675
9,4,sax,0.33559628986724144
9,4,sfa,0.26869575376541127
9,4,spartan,0.4110495755271365
10,4,sax,0.3530507985612026
10,4,sfa,0.2784354993435519
10,4,spartan,0.4259445892437971
3,5,sax,0.12498628488626698
3,5,sfa,0.10755488424782925
3,5,spartan,0.17403216565809126
4,5,sax,0.19886438375284407
4,5,sfa,0.17145305133507469
4,5,spartan,0.27856526846451196
5,5,sax,0.25030516694474275
5,5,sfa,0.2117630217921051
5,5,spartan,0.3342548196774857
6,5,sax,0.29176372170870335
6,5,sfa,0.24150487366192655
6,5,spartan,0.3735381387815434
7,5,sax,0.3193312486653903
7,5,sfa,0.2629505407169272
7,5,spartan,0.40787606750435274
8,5,sax,0.34393944518517205
8,5,sfa,0.281368919589539
8,5,spartan,0.4328858061545965
9,5,sax,0.35718552108776913
9,5,sfa,0.29438004108207544
9,5,spartan,0.4540106685969842
10,5,sax,0.37589303453979955
