a,w,method,tlb
3,2,sax,0.001610305958132045
3,2,sfa,0.04567906671752665
3,2,spartan,0.09500343582894216
4,2,sax,0.001610305958132045
4,2,sfa,0.07134746008302234
4,2,spartan,0.15725980944936405
5,2,sax,0.001610305958132045
5,2,sfa,0.08841644576586061
5,2,spartan,0.20472079341339408
6,2,sax,0.001610305958132045
6,2,sfa,0.10100964716217176
6,2,spartan,0.23932316001705034
7,2,sax,0.0017370547095015346
7,2,sfa,0.11012724140713787
7,2,spartan,0.2658657558875485
8,2,sax,0.001610305958132045
8,2,sfa,0.11897856168355417
8,2,spartan,0.28683354738785327
9,2,sax,0.0029144849850632325
9,2,sfa,0.12452050801725222
9,2,spartan,0.3004272653828464
10,2,sax,0.001610305958132045
10,2,sfa,0.13033551575952906
10,2,spartan,0.31523442970321786
3,3,sax,0.001610305958132045
3,3,sfa,0.05881238478470381
3,3,spartan,0.13572702283608304
4,3,sax,0.002116992601121947
4,3,sfa,0.09213450043509532
4,3,spartan,0.22034768324634224
5,3,sax,0.0022029954070427065
5,3,sfa,0.1159628144490472
5,3,spartan,0.28104519526095084
6,3,sax,0.006017426030710087
6,3,sfa,0.1309337856400836
6,3,spartan,0.3203989071146881
7,3,sax,0.016483578939748326
7,3,sfa,0.14224619172967232
7,3,spartan,0.3501505648578142
8,3,sax,0.01882162798536935
8,3,sfa,0.15164489677243725
8,3,spartan,0.37585561072391316
9,3,sax,0.023793650902964893
9,3,sfa,0.15966520112902077
9,3,spartan,0.39258784766316535
10,3,sax,0.03651196050481715
10,3,sfa,0.16723779288405338
10,3,spartan,0.41083956182057585
3,4,sax,0.00244875867388
3,4,sfa,0.07259155371355995
3,4,spartan,0.16059774864094348
4,4,sax,0.0033578034522182255
4,4,sfa,0.11156317199268867
4,4,spartan,0.25752757911773416
5,4,sax,0.012650461899248061
5,4,sfa,0.1383609602105859
5,4,spartan,0.32123155878875487
6,4,sax,0.03507769274690702
6,4,sfa,0.1565619297816748
6,4,spartan,0.3639800437449926
7,4,sax,0.04302182137297937
7,4,sfa,0.17092780403049404
7,4,spartan,0.3975382226101528
8,4,sax,0.06944616783334286
8,4,sfa,0.18253352039964726
8,4,spartan,0.42474342830885464
9,4,sax,0.0772364078798671
9,4,sfa,0.19132120938783737
9,4,spartan,0.4413327834852712
10,4,sax,0.09642587354001268
10,4,sfa,0.1987731982109523
10,4,spartan,0.46184629742580285
3,5,sax,0.005918291354194425
3,5,sfa,0.08276059874492911
3,5,spartan,0.17789348796886462
4,5,sax,0.01760455290725928
4,5,sfa,0.1243813653286514
4,5,spartan,0.28198726154598835
5,5,sax,0.040441250334777995
5,5,sfa,0.1550607257243661
5,5,spartan,0.34826641739028447
6,5,sax,0.07024239066772549
6,5,sfa,0.17562836320082872
6,5,spartan,0.3938546993833711
7,5,sax,0.09432536726513854
