a,w,method,tlb
3,2,sax,0.0016037903769031228
3,2,sfa,0.09372019112991076
3,2,spartan,0.17989515573651457
4,2,sax,0.07903453541982865
4,2,sfa,0.12511811595155004
4,2,spartan,0.23555161248499445
5,2,sax,0.08310309967866647
5,2,sfa,0.17861484550340875
5,2,spartan,0.29829557374735055
6,2,sax,0.05557390496506026
6,2,sfa,0.2107202689190001
6,2,spartan,0.332082531444206
7,2,sax,0.10254965862857376
7,2,sfa,0.3129184979763994
7,2,spartan,0.4151534663152607
8,2,sax,0.15076981637484
8,2,sfa,0.32422006583789753
8,2,spartan,0.4291688419914167
9,2,sax,0.18301522284211105
9,2,sfa,0.33419522592782847
9,2,spartan,0.44450421221485786
10,2,sax,0.17167605835989122
10,2,sfa,0.33115474624226754
10,2,spartan,0.45218753192392985
3,3,sax,0.037659188565502565
3,3,sfa,0.09935777201006515
3,3,spartan,0.19317608292545785
4,3,sax,0.17090649567409996
4,3,sfa,0.1458057451350989
4,3,spartan,0.2571271015612409
5,3,sax,0.22918516276848896
5,3,sfa,0.18248149044750828
5,3,spartan,0.32661889146474776
6,3,sax,0.2846825347760248
6,3,sfa,0.22662132524373507
6,3,spartan,0.3645321391413429
7,3,sax,0.30979106922691085
7,3,sfa,0.3410980917499892
7,3,spartan,0.45679769209312043
8,3,sax,0.2799115305354211
8,3,sfa,0.3733946104561571
8,3,spartan,0.47895977890235
9,3,sax,0.2840359387989405
9,3,sfa,0.3906867850441824
9,3,spartan,0.504965735652955
10,3,sax,0.3115322460877743
10,3,sfa,0.40444362105984394
10,3,spartan,0.5162884324442406
3,4,sax,0.07576886295662803
3,4,sfa,0.13839849119390704
3,4,spartan,0.23116537320709715
4,4,sax,0.15104042996489025
4,4,sfa,0.1872881549902212
4,4,spartan,0.3086852054651195
5,4,sax,0.23419101965711722
5,4,sfa,0.23413475840311113
5,4,spartan,0.39715290617305476
6,4,sax,0.30729628309888324
6,4,sfa,0.2818719431345455
6,4,spartan,0.43346499352627205
7,4,sax,0.3465335220378706
7,4,sfa,0.39686377902225034
7,4,spartan,0.5285634200208179
8,4,sax,0.37606765016340477
8,4,sfa,0.42961146608295336
8,4,spartan,0.5502737439466852
9,4,sax,0.378834738809646
9,4,sfa,0.4490336111982886
9,4,spartan,0.5820761884196469
10,4,sax,0.36733436965547833
10,4,sfa,0.46325850957333187
10,4,spartan,0.592066966546853
3,5,sax,0.12168571033233964
3,5,sfa,0.137501623022078
3,5,spartan,0.2467756287891152
4,5,sax,0.21583372570850742
4,5,sfa,0.18982855146841293
4,5,spartan,0.32876617428103183
5,5,sax,0.2683482427696506
5,5,sfa,0.23418045422796266
5,5,spartan,0.4232566009087325
6,5,sax,0.33179714008435807
6,5,sfa,0.28219350036393365
6,5,spartan,0.4604526547983954
7,5,sax,0.3761570715478377
7,5,sfa,0.39269664836632645
7,5,spartan,0.5548924681048093
8,5,sax,0.4105454525929853
8,5,sfa,0.4102507483051683
8,5,spartan,0.5788451053526306
9,5,sax,0.42792025888418594
9,5,sfa,0.4189199054982342
9,5,spartan,0.614300589234463
10,5,sax,0.43871522186752593
10,5,sfa,0.42620260105646224
10,5,spartan,0.6274687271448502
3,6,sax,0.13915996588151394
3,6,sfa,0.1530370502749746
3,6,spartan,0.25437619627880914
4,6,sax,0.22765119383356364
4,6,sfa,0.2058333107501163
4,6,spartan,0.33847189632949504
5,6,sax,0.29422863908153835
5,6,sfa,0.2562086887061573
5,6,spartan,0.4351128538650533
6,6,sax,0.3431618787450412
6,6,sfa,0.30313089614176353
6,6,spartan,0.47357010324089066
7,6,sax,0.38852404679105845
7,6,sfa,0.41472240269213767
7,6,spartan,0.5693114709993554
8,6,sax,0.4315872125432821
8,6,sfa,0.43311082701298054
8,6,spartan,0.5927110063673223
9,6,sax,0.4607608604660654
9,6,sfa,0.4419951312308677
9,6,spartan,0.6300017105914499
10,6,sax,0.47945930842870627
10,6,sfa,0.45003051429984786
10,6,spartan,0.6443050119953184
3,7,sax,0.1644048367344866
3,7,sfa,0.14767603236451715
3,7,spartan,0.26044330608345284
4,7,sax,0.24525561388633454
4,7,sfa,0.2052606624868178
4,7,spartan,0.3467099489112045
5,7,sax,0.314461548075862
5,7,sfa,0.2697509174628666
5,7,spartan,0.44551311011869565
6,7,sax,0.3722884808707081
6,7,sfa,0.32188650561414034
6,7,spartan,0.4843547753326465
7,7,sax,0.40766027538485217
7,7,sfa,0.4335080614987683
7,7,spartan,0.5801892500115131
8,7,sax,0.4453247201241224
8,7,sfa,0.4572929272663391
8,7,spartan,0.6051954293364284
9,7,sax,0.47673850628313563
9,7,sfa,0.4703107630271468
9,7,spartan,0.6425220045541371
10,7,sax,0.5012996856531894
10,7,sfa,0.4790607673878369
10,7,spartan,0.6572310178026269
3,8,sax,0.18723268158283493
3,8,sfa,0.16235901226572508
3,8,spartan,0.26415219542324486
4,8,sax,0.2764409255754274
4,8,sfa,0.22087582929235647
4,8,spartan,0.3519179245243845
5,8,sax,0.35229319023271083
5,8,sfa,0.2967496902505166
5,8,spartan,0.451681734529491
6,8,sax,0.4036424976993571
6,8,sfa,0.3579297278103873
6,8,spartan,0.49179961874627726
7,8,sax,0.445432253096818
7,8,sfa,0.4774660813174941
7,8,spartan,0.5878888834295342
8,8,sax,0.4761067943891785
8,8,sfa,0.5067042404670095
8,8,spartan,0.612929266655461
9,8,sax,0.5012450104400593
9,8,sfa,0.5234786716396794
9,8,spartan,0.6504214442091039
10,8,sax,0.5281670936829819
10,8,sfa,0.531505930009332
10,8,spartan,0.6651402463660716
