a,w,method,tlb
3,2,sax,0.10660426867559096
3,2,sfa,0.08722315907922078
3,2,spartan,0.11227480676061674
4,2,sax,0.2049427071281394
4,2,sfa,0.18510448698956145
4,2,spartan,0.24959060704350594
5,2,sax,0.09042187054394303
5,2,sfa,0.195789744586504
5,2,spartan,0.27130118067588743
6,2,sax,0.17264968239737857
6,2,sfa,0.22268989773860134
6,2,spartan,0.3052202201874974
7,2,sax,0.25555709853463576
7,2,sfa,0.25915559227642
7,2,spartan,0.35088829083681133
8,2,sax,0.28032364257016484
8,2,sfa,0.2597570906270008
8,2,spartan,0.35961293205131944
9,2,sax,0.2726581604323639
9,2,sfa,0.27370770884081735
9,2,spartan,0.37418390094003384
10,2,sax,0.26698856411215965
10,2,sfa,0.2924294935725995
10,2,spartan,0.40041737344870754
3,3,sax,0.09069507342792946
3,3,sfa,0.09256098738708003
3,3,spartan,0.1253000179134143
4,3,sax,0.22151893102660603
4,3,sfa,0.19476743286333698
4,3,spartan,0.26778059957212114
5,3,sax,0.27249685600745704
5,3,sfa,0.2085070282909083
5,3,spartan,0.29263735644079786
6,3,sax,0.2920136564746702
6,3,sfa,0.23545043528230894
6,3,spartan,0.32797174860049777
7,3,sax,0.2806605000081122
7,3,sfa,0.27261560923882605
7,3,spartan,0.37641614023372355
8,3,sax,0.29431652590623714
8,3,sfa,0.27360890775006597
8,3,spartan,0.3857680923463417
9,3,sax,0.3232414551808691
9,3,sfa,0.28621933275984773
9,3,spartan,0.4001830979599112
10,3,sax,0.34699674531593727
10,3,sfa,0.3085312877472715
10,3,spartan,0.4269358355632938
3,4,sax,0.08982595548488866
3,4,sfa,0.1028795978193434
3,4,spartan,0.1364674323158568
4,4,sax,0.2138452184704381
4,4,sfa,0.21712307428738714
4,4,spartan,0.2825657381406976
5,4,sax,0.2630497227074245
5,4,sfa,0.23832449841478537
5,4,spartan,0.3095134514920975
6,4,sax,0.29587496861895407
6,4,sfa,0.2675456599917712
6,4,spartan,0.34570246139695593
7,4,sax,0.31679984273159206
7,4,sfa,0.3065682426898471
7,4,spartan,0.3955214546385842
8,4,sax,0.3329183015762963
8,4,sfa,0.308839581937248
8,4,spartan,0.40563870094409404
9,4,sax,0.33881046214232896
9,4,sfa,0.32182029904184
9,4,spartan,0.42077129530568097
10,4,sax,0.34447914426176546
10,4,sfa,0.3452427824148463
10,4,spartan,0.4498961862921761
3,5,sax,0.10802236764280485
3,5,sfa,0.10766360145188733
3,5,spartan,0.1504161598226968
4,5,sax,0.2273035776878126
4,5,sfa,0.22062348480149735
4,5,spartan,0.3036503444795479
5,5,sax,0.26409153394116747
5,5,sfa,0.2446801799602531
5,5,spartan,0.33606743655362326
6,5,sax,0.3167349258918684
6,5,sfa,0.27548056427215356
6,5,spartan,0.37476080977851345
7,5,sax,0.3453621024370712
7,5,sfa,0.31085624280462426
7,5,spartan,0.4243761217713785
8,5,sax,0.36584705378729204
8,5,sfa,0.3148001018964899
8,5,spartan,0.4367236608893799
9,5,sax,0.3712154564089372
9,5,sfa,0.32793829611025893
9,5,spartan,0.45351717380785234
10,5,sax,0.38261795859020753
10,5,sfa,0.348432815335518
10,5,spartan,0.48405671770659037
3,6,sax,0.12090122772327809
3,6,sfa,0.1170938688765072
3,6,spartan,0.15914283283241892
4,6,sax,0.2412615837126237
4,6,sfa,0.23446652296115325
4,6,spartan,0.31572422031426767
5,6,sax,0.2857849730928558
5,6,sfa,0.26030671866911276
5,6,spartan,0.34924003016824834
6,6,sax,0.3221466303671037
6,6,sfa,0.2908469231270674
6,6,spartan,0.38871409302137244
7,6,sax,0.35424636884376487
7,6,sfa,0.3279699573323367
7,6,spartan,0.4396194728661775
8,6,sax,0.387604787148515
8,6,sfa,0.33245607158680074
8,6,spartan,0.4526561055577687
9,6,sax,0.4025855256842301
9,6,sfa,0.3456033148319177
9,6,spartan,0.47071065116288213
10,6,sax,0.41106328654590923
10,6,sfa,0.3665530606444316
10,6,spartan,0.5017904123197944
3,7,sax,0.17122983879484147
3,7,sfa,0.11765007240397803
3,7,spartan,0.17204983668933185
4,7,sax,0.26243277105464363
4,7,sfa,0.23341029788830508
4,7,spartan,0.32870092422967473
5,7,sax,0.31410937008686857
5,7,sfa,0.2611043426452846
5,7,spartan,0.3640603883238796
6,7,sax,0.3508313629897633
6,7,sfa,0.29091831792908907
6,7,spartan,0.40441956772712156
7,7,sax,0.3812394658286587
7,7,sfa,0.3294529949659689
7,7,spartan,0.4560504043120927
8,7,sax,0.4038705262787063
8,7,sfa,0.3330871328870486
8,7,spartan,0.469714877914336
9,7,sax,0.42181278402797884
9,7,sfa,0.3488720916070481
9,7,spartan,0.48885866468841654
10,7,sax,0.4392893362297858
10,7,sfa,0.3700368765313146
10,7,spartan,0.5203346548051085
3,8,sax,0.20071466794680662
3,8,sfa,0.13026981648028113
3,8,spartan,0.17861967487413297
4,8,sax,0.2929513279628271
4,8,sfa,0.24660067465869195
4,8,spartan,0.33573683979088687
5,8,sax,0.3364052104216173
5,8,sfa,0.27499654351520725
5,8,spartan,0.37190902284739263
6,8,sax,0.3778942133321065
6,8,sfa,0.3048086345434084
6,8,spartan,0.4125254794607262
7,8,sax,0.4060687200439228
7,8,sfa,0.3437901263974492
7,8,spartan,0.4649363564547581
8,8,sax,0.431369630031554
8,8,sfa,0.3483834104670344
8,8,spartan,0.479132691076448
9,8,sax,0.4516494156385062
9,8,sfa,0.3639969911845466
9,8,spartan,0.4977050603641608
10,8,sax,0.46831106087581487
10,8,sfa,0.3853465866470132
10,8,spartan,0.5292802712695279
