a,w,method,tlb
3,2,sax,0.006780518992514008
3,2,sfa,0.052115435173508536
3,2,spartan,0.12557095336901342
4,2,sax,0.011788309462791507
4,2,sfa,0.08187724329522969
4,2,spartan,0.2190405838360575
5,2,sax,0.01997978858239937
5,2,sfa,0.10121442598542063
5,2,spartan,0.28622481589806986
6,2,sax,0.03519528430938494
6,2,sfa,0.11613492839066973
6,2,spartan,0.32107084896192284
7,2,sax,0.046016064624712444
7,2,sfa,0.12423517922041365
7,2,spartan,0.3610555899070596
8,2,sax,0.0566850794918293
8,2,sfa,0.13179606489580944
8,2,spartan,0.3782363959897199
9,2,sax,0.06206021884628054
9,2,sfa,0.1404247897314808
9,2,spartan,0.3996959493028246
10,2,sax,0.08391352145209267
10,2,sfa,0.14578193183456487
10,2,spartan,0.42044470605418965
3,3,sax,0.025669099807491783
3,3,sfa,0.08012385776249664
3,3,spartan,0.14972644858689016
4,3,sax,0.05241989971645275
4,3,sfa,0.13348105517663691
4,3,spartan,0.2611921452035301
5,3,sax,0.07636371289603261
5,3,sfa,0.16409178664075705
5,3,spartan,0.32879552375745025
6,3,sax,0.11563918014071298
6,3,sfa,0.1857851693768244
6,3,spartan,0.36925015703499037
7,3,sax,0.12867368465500878
7,3,sfa,0.19673572404648018
7,3,spartan,0.4104591372974386
8,3,sax,0.14383601771383958
8,3,sfa,0.20765339069404984
8,3,spartan,0.43087154469520444
9,3,sax,0.1628740355710321
9,3,sfa,0.21732119187151885
9,3,spartan,0.45395789406127995
10,3,sax,0.1733445374214227
10,3,sfa,0.22676485335495827
10,3,spartan,0.4739977730571577
3,4,sax,0.07889198128199809
3,4,sfa,0.10141252776812745
3,4,spartan,0.1683874020771008
4,4,sax,0.12324061730700332
4,4,sfa,0.16781397448827332
4,4,spartan,0.28215696647001
5,4,sax,0.17576458747622897
5,4,sfa,0.2067149983241602
5,4,spartan,0.3529954233488956
6,4,sax,0.2137956213034803
6,4,sfa,0.23022268097726822
6,4,spartan,0.3924208002831283
7,4,sax,0.24544471055067213
7,4,sfa,0.24665865957695746
7,4,spartan,0.43789154279536874
8,4,sax,0.25841988379313097
8,4,sfa,0.2600768030261823
8,4,spartan,0.4585582567972489
9,4,sax,0.27131365350969283
9,4,sfa,0.26994158799200574
9,4,spartan,0.4838997232977885
10,4,sax,0.2954383387667645
10,4,sfa,0.2819405513751597
10,4,spartan,0.5050634599442811
3,5,sax,0.12942132785121724
3,5,sfa,0.12247092717890035
3,5,spartan,0.18756909830355312
4,5,sax,0.1913866468776538
4,5,sfa,0.19918701088992452
4,5,spartan,0.30633001614786803
5,5,sax,0.232645215923455
5,5,sfa,0.24105069607524915
5,5,spartan,0.37700623945929035
6,5,sax,0.27425056658554503
6,5,sfa,0.26814310662239393
6,5,spartan,0.41813210967144887
7,5,sax,0.31773873112397105
7,5,sfa,0.28940021669168065
7,5,spartan,0.4649318633930994
8,5,sax,0.3331730161131352
8,5,sfa,0.30626295052022723
8,5,spartan,0.4899740996121098
9,5,sax,0.3479436095963867
9,5,sfa,0.31665486316050523
9,5,spartan,0.5157446776126228
10,5,sax,0.3679951818034821
10,5,sfa,0.32791640259715343
10,5,spartan,0.5360636408117067
3,6,sax,0.17785401758727729
3,6,sfa,0.14389296794543746
3,6,spartan,0.20530162620839726
4,6,sax,0.24802111018762893
4,6,sfa,0.2255300028086623
4,6,spartan,0.32823987327677795
5,6,sax,0.2967273847573206
5,6,sfa,0.27000274983543393
5,6,spartan,0.4016365680477429
6,6,sax,0.3384921837892428
6,6,sfa,0.3023757070565172
6,6,spartan,0.4420037677672095
7,6,sax,0.37585179061558993
