a,w,method,tlb
3,2,sax,0.01098505430160817
3,2,sfa,0.1302735239982534
3,2,spartan,0.27687254859821797
4,2,sax,0.030166545040691523
4,2,sfa,0.17560339971112077
4,2,spartan,0.3422088346673683
5,2,sax,0.02400291197155696
5,2,sfa,0.23652775074926022
5,2,spartan,0.425266474169743
6,2,sax,0.05106162967839226
6,2,sfa,0.25569735058982235
6,2,spartan,0.4585827761981964
7,2,sax,0.07093960478605957
7,2,sfa,0.30563398679966086
7,2,spartan,0.5046967711332414
8,2,sax,0.08490718419841348
8,2,sfa,0.30844007132697754
8,2,spartan,0.529094681566555
9,2,sax,0.10243689716609661
9,2,sfa,0.33879897973954365
9,2,spartan,0.561970519957815
10,2,sax,0.0958646360706914
10,2,sfa,0.34255350179758953
10,2,spartan,0.5791161827908315
3,3,sax,0.16910896967560266
3,3,sfa,0.14702514110091702
3,3,spartan,0.3037121428639847
4,3,sax,0.17912644089830002
4,3,sfa,0.21020414657178393
4,3,spartan,0.3799737377760115
5,3,sax,0.2358926224755799
5,3,sfa,0.2561129742663079
5,3,spartan,0.4634130896501502
6,3,sax,0.29412667131547604
6,3,sfa,0.2856554954075594
6,3,spartan,0.5071162117241869
7,3,sax,0.33227868748890016
7,3,sfa,0.3107948104146268
7,3,spartan,0.5567533950827337
8,3,sax,0.32657307006870995
8,3,sfa,0.33138648711223884
8,3,spartan,0.5847264414956357
9,3,sax,0.340950582673875
9,3,sfa,0.3412770413222153
9,3,spartan,0.6128065431116133
10,3,sax,0.35521057817489166
10,3,sfa,0.3581309595551724
10,3,spartan,0.6309684046623466
3,4,sax,0.16323708264824563
3,4,sfa,0.17220974349407703
3,4,spartan,0.3192048493146213
4,4,sax,0.21454016415627802
4,4,sfa,0.24357924908197465
4,4,spartan,0.3948129647186903
5,4,sax,0.2510916859521109
5,4,sfa,0.2920737195954599
5,4,spartan,0.48444773585199025
6,4,sax,0.31698982954705307
6,4,sfa,0.32438135740172236
6,4,spartan,0.5305208445207533
7,4,sax,0.3555444166641601
7,4,sfa,0.3526532678046532
7,4,spartan,0.5797928179357288
8,4,sax,0.38575175098685477
8,4,sfa,0.3748153627178367
8,4,spartan,0.6068969103739301
9,4,sax,0.4144663943341744
9,4,sfa,0.38954606302429534
9,4,spartan,0.6375617265174536
10,4,sax,0.41777777810570077
10,4,sfa,0.40574969653718596
10,4,spartan,0.6549745503144262
3,5,sax,0.19119273770846285
3,5,sfa,0.2559590563739644
3,5,spartan,0.32572619629696753
4,5,sax,0.25769820266454574
4,5,sfa,0.34420036507950574
4,5,spartan,0.40086208696651615
5,5,sax,0.29233607420026164
5,5,sfa,0.4240364551123993
5,5,spartan,0.4936396568513487
6,5,sax,0.3521427558613713
6,5,sfa,0.45289771667916473
6,5,spartan,0.5400770251338132
7,5,sax,0.40880078085393806
7,5,sfa,0.5015092880726503
7,5,spartan,0.5909492636093189
8,5,sax,0.42501113315130307
8,5,sfa,0.5196959094511155
8,5,spartan,0.6177686856678521
9,5,sax,0.44132826853363105
9,5,sfa,0.5539966092651114
9,5,spartan,0.6504271337673334
10,5,sax,0.4744534964942809
10,5,sfa,0.5671652284487518
10,5,spartan,0.6684768146121387
3,6,sax,0.1974308877736356
3,6,sfa,0.25965217326985446
3,6,spartan,0.3283503281522493
4,6,sax,0.24361121696972354
4,6,sfa,0.3462203319758029
4,6,spartan,0.4031525563489227
5,6,sax,0.29068011355056994
5,6,sfa,0.4262083981535994
5,6,spartan,0.4967996124440064
6,6,sax,0.35689534358356534
6,6,sfa,0.45555631449378886
6,6,spartan,0.5436726448545853
7,6,sax,0.41301916063434835
7,6,sfa,0.5044205083070973
7,6,spartan,0.5952259413539692
8,6,sax,0.42467533654526013
8,6,sfa,0.5226708892070596
8,6,spartan,0.6232985546705574
9,6,sax,0.4507704609538452
9,6,sfa,0.5576324978563851
9,6,spartan,0.6570822941839782
10,6,sax,0.481244918058069
10,6,sfa,0.5717550280205161
10,6,spartan,0.6748471875816212
3,7,sax,0.2174929713582242
3,7,sfa,0.26598606452061047
3,7,spartan,0.33053834207733407
4,7,sax,0.25307857065659783
4,7,sfa,0.3459170986928623
4,7,spartan,0.40510102854604274
5,7,sax,0.29532291460884336
5,7,sfa,0.45052969503404094
5,7,spartan,0.4987381266143382
6,7,sax,0.3724283238331731
6,7,sfa,0.48974280647337426
6,7,spartan,0.5462871779934438
7,7,sax,0.41149865837792504
7,7,sfa,0.541254750610394
7,7,spartan,0.59786351654024
8,7,sax,0.44800882878140647
8,7,sfa,0.564494047057004
8,7,spartan,0.6264851253571223
9,7,sax,0.47946495528294397
9,7,sfa,0.5967945542728931
9,7,spartan,0.6600852921116195
10,7,sax,0.5007712871096089
10,7,sfa,0.6127345967556677
10,7,spartan,0.677970918108067
3,8,sax,0.22461526885645872
3,8,sfa,0.2684018121935613
3,8,spartan,0.3311087785508999
4,8,sax,0.2866152071192484
4,8,sfa,0.3477930723215953
4,8,spartan,0.4062440273296522
5,8,sax,0.3362407904068938
5,8,sfa,0.454888705319334
5,8,spartan,0.5001262294279212
6,8,sax,0.41569632100916315
6,8,sfa,0.4950827668285249
6,8,spartan,0.5476990419635316
7,8,sax,0.46284280851704523
7,8,sfa,0.5471468207620801
7,8,spartan,0.599249542517544
8,8,sax,0.48143820451006
8,8,sfa,0.5701161465563541
8,8,spartan,0.6277589383920453
9,8,sax,0.5000740842100292
9,8,sfa,0.6036260776750061
9,8,spartan,0.6617097063688221
10,8,sax,0.5251782537864376
10,8,sfa,0.6194574649708935
10,8,spartan,0.6796181544652588
