a,w,method,tlb
3,2,sax,0.0008605851979345956
3,2,sfa,0.043164333167640616
3,2,spartan,0.16954764291939367
4,2,sax,0.0008605851979345956
4,2,sfa,0.07612899744444472
4,2,spartan,0.27842837950696087
5,2,sax,0.0009685463202676539
5,2,sfa,0.10086011388395423
5,2,spartan,0.3474157525544016
6,2,sax,0.0008605851979345956
6,2,sfa,0.12072921872526639
6,2,spartan,0.4012983575560149
7,2,sax,0.004592626915133891
7,2,sfa,0.1352079735834247
7,2,spartan,0.44050848464282377
8,2,sax,0.006562269099623442
8,2,sfa,0.14769622453251963
8,2,spartan,0.4765176280228375
9,2,sax,0.006181174842800967
9,2,sfa,0.15744915436597184
9,2,spartan,0.5020901069091851
10,2,sax,0.011716021961953982
10,2,sfa,0.16560894523331324
10,2,spartan,0.5239084027908114
3,3,sax,0.0009228440154657286
3,3,sfa,0.05652923789458803
3,3,spartan,0.2029986098036239
4,3,sax,0.0011980675927488074
4,3,sfa,0.09539175508075862
4,3,spartan,0.32888753606695115
5,3,sax,0.004093816140870232
5,3,sfa,0.12561175829383822
5,3,spartan,0.40779485782738434
6,3,sax,0.007003486348299207
6,3,sfa,0.1491105427843282
6,3,spartan,0.46864967414167086
7,3,sax,0.011667687678761621
7,3,sfa,0.16592647086022178
7,3,spartan,0.51234521469312
8,3,sax,0.020481028151850968
8,3,sfa,0.17690497018480675
8,3,spartan,0.550260999772498
9,3,sax,0.024592595406690978
9,3,sfa,0.19079317918158334
9,3,spartan,0.5794372601564309
10,3,sax,0.03713518056910186
10,3,sfa,0.1990795960541606
10,3,spartan,0.603266711202209
3,4,sax,0.008867244779884275
3,4,sfa,0.08366413411339793
3,4,spartan,0.22391131893969257
4,4,sax,0.005290333341872764
4,4,sfa,0.13844033898241137
4,4,spartan,0.3568681177053117
5,4,sax,0.04545121814457563
5,4,sfa,0.17973679358886455
5,4,spartan,0.43820855443338624
6,4,sax,0.06135759614392635
6,4,sfa,0.21225575547189404
6,4,spartan,0.5010642772152286
7,4,sax,0.08205328712198046
