a,w,method,tlb
3,2,sax,0.005617283950617284
3,2,sfa,0.22203187023629822
3,2,spartan,0.23784060237896618
4,2,sax,0.005617283950617284
4,2,sfa,0.2821474184377901
4,2,spartan,0.3318784600545094
5,2,sax,0.007704617638023342
5,2,sfa,0.3082914456133487
5,2,spartan,0.356417023021857
6,2,sax,0.005617283950617284
6,2,sfa,0.3963714808656858
6,2,spartan,0.45359156698458225
7,2,sax,0.01845074202138022
7,2,sfa,0.4185414913125137
7,2,spartan,0.4756083968575133
8,2,sax,0.02229170495880848
8,2,sfa,0.39332769224935615
8,2,spartan,0.4765176082004675
9,2,sax,0.02921778041958371
9,2,sfa,0.47151478603236435
9,2,spartan,0.5278255315371014
10,2,sax,0.030473392264322448
10,2,sfa,0.4605259718042952
10,2,spartan,0.5345794688417834
3,3,sax,0.18295706748504909
3,3,sfa,0.2603117579179126
3,3,spartan,0.2547540786420161
4,3,sax,0.2363603212462712
4,3,sfa,0.36648207875958705
4,3,spartan,0.3890619985175723
5,3,sax,0.2646794478271461
5,3,sfa,0.38528173921609643
5,3,spartan,0.41580901384510843
6,3,sax,0.30496114116854334
6,3,sfa,0.47356654639387624
6,3,spartan,0.5111532776784982
7,3,sax,0.3340187196316341
7,3,sfa,0.50444246904872
7,3,spartan,0.5433365776740012
8,3,sax,0.35149048139884786
8,3,sfa,0.5014382752449098
8,3,spartan,0.5513886085074141
9,3,sax,0.33586337688055007
9,3,sfa,0.5486283640447387
9,3,spartan,0.6003116396473922
10,3,sax,0.33717709446554406
10,3,sfa,0.5695752567457857
10,3,spartan,0.6101740225528848
3,4,sax,0.17942869113954826
3,4,sfa,0.26770711200871683
3,4,spartan,0.2780429735641619
4,4,sax,0.21561880169807845
4,4,sfa,0.3802901822588373
4,4,spartan,0.4245836774781025
5,4,sax,0.23351494322644292
5,4,sfa,0.40235567701630004
5,4,spartan,0.45919890697973115
6,4,sax,0.24242395473450568
6,4,sfa,0.4905848758565452
6,4,spartan,0.5547637952162391
7,4,sax,0.2701599045798008
7,4,sfa,0.5219652763959212
7,4,spartan,0.5851459314563988
8,4,sax,0.309751923586104
8,4,sfa,0.5224041403149977
8,4,spartan,0.595682273831101
9,4,sax,0.3238617143682237
9,4,sfa,0.5707897186364141
9,4,spartan,0.6457827295304133
10,4,sax,0.3428351154399469
10,4,sfa,0.589993893629221
10,4,spartan,0.656513785998521
3,5,sax,0.164746166903822
3,5,sfa,0.28743600732163077
3,5,spartan,0.2979152283892435
4,5,sax,0.23654838388654142
4,5,sfa,0.366891184495261
4,5,spartan,0.4469905533518606
5,5,sax,0.2886952655551522
5,5,sfa,0.38903163613331143
5,5,spartan,0.48349974267895546
6,5,sax,0.31886204664996276
6,5,sfa,0.5015562330645251
6,5,spartan,0.5806919706153657
7,5,sax,0.35071520107254595
7,5,sfa,0.5326256420098668
7,5,spartan,0.6129624469071493
8,5,sax,0.3993242667144939
8,5,sfa,0.503414453075892
8,5,spartan,0.6256265661365398
9,5,sax,0.4130779382597802
9,5,sfa,0.5989264100918883
9,5,spartan,0.6764960991440574
10,5,sax,0.4305656687297662
10,5,sfa,0.5931966017059451
10,5,spartan,0.6874460644136642
3,6,sax,0.19750758868982718
3,6,sfa,0.28834637941996905
3,6,spartan,0.3123287472253933
4,6,sax,0.2616544093381961
4,6,sfa,0.36860825579681156
4,6,spartan,0.46481029702325594
5,6,sax,0.29300471076390616
5,6,sfa,0.3912990755027223
5,6,spartan,0.5035159261882963
6,6,sax,0.3282946223839933
6,6,sfa,0.5042908551605352
6,6,spartan,0.6003778528879193
7,6,sax,0.3768884995409291
7,6,sfa,0.5358126497567901
7,6,spartan,0.6331991357358463
8,6,sax,0.4105113493878823
8,6,sfa,0.5068121042521168
8,6,spartan,0.6469992245936387
9,6,sax,0.4245173567362722
9,6,sfa,0.6029271383913167
9,6,spartan,0.6974413826715925
10,6,sax,0.42937914169427466
10,6,sfa,0.596970873142216
10,6,spartan,0.7099359858978334
3,7,sax,0.18768590214925465
3,7,sfa,0.3193586936893131
3,7,spartan,0.3221553733284942
4,7,sax,0.27000917946080655
4,7,sfa,0.417213737631079
4,7,spartan,0.47395287049890467
5,7,sax,0.3131632350525863
5,7,sfa,0.45353572230155786
5,7,spartan,0.5146167568092399
6,7,sax,0.35605428563725994
6,7,sfa,0.550478715161551
6,7,spartan,0.6117214513494514
7,7,sax,0.41436457039328456
7,7,sfa,0.5731449696296484
7,7,spartan,0.6447821059338666
8,7,sax,0.45079568127594727
8,7,sfa,0.5738966238036737
8,7,spartan,0.6580085771639544
9,7,sax,0.45966731989788845
9,7,sfa,0.6422576917243045
9,7,spartan,0.7092766896540109
10,7,sax,0.4656185652277135
10,7,sfa,0.65466068669578
10,7,spartan,0.7218241590112228
3,8,sax,0.20144359162636222
3,8,sfa,0.3223827066797922
3,8,spartan,0.3233290504316333
4,8,sax,0.3129787583559524
4,8,sfa,0.4224396340839983
4,8,spartan,0.4749525471831745
5,8,sax,0.35662748127480176
5,8,sfa,0.460927796342151
5,8,spartan,0.5161452166005519
6,8,sax,0.4115782198557209
6,8,sfa,0.5571016392536852
6,8,spartan,0.6137080512021378
7,8,sax,0.47028142773124665
7,8,sfa,0.5798978617913453
7,8,spartan,0.6474288319407614
8,8,sax,0.5186710935036728
8,8,sfa,0.5813540116568773
8,8,spartan,0.6608527050798993
9,8,sax,0.529205271466195
9,8,sfa,0.6500968930506409
9,8,spartan,0.7130193242708941
10,8,sax,0.5383229972702231
10,8,sfa,0.6631458537127414
10,8,spartan,0.7255912772240224
