a,w,method,tlb
3,2,sax,0.009009009009009009
3,2,sfa,0.07450618252779562
3,2,spartan,0.1122350699113145
4,2,sax,0.009009009009009009
4,2,sfa,0.10556420131545018
4,2,spartan,0.277405375922674
5,2,sax,0.009009009009009009
5,2,sfa,0.1668916803758025
5,2,spartan,0.34083029279364735
6,2,sax,0.009009009009009009
6,2,sfa,0.19203058696319875
6,2,spartan,0.378813813170174
7,2,sax,0.009009009009009009
7,2,sfa,0.2000576217612259
7,2,spartan,0.4162072134036235
8,2,sax,0.009009009009009009
8,2,sfa,0.20372242489677983
8,2,spartan,0.4688978996715374
9,2,sax,0.009009009009009009
9,2,sfa,0.21578976867492164
9,2,spartan,0.5013904299259674
10,2,sax,0.009009009009009009
10,2,sfa,0.25970653390791004
10,2,spartan,0.5640393289090894
3,3,sax,0.009009009009009009
3,3,sfa,0.07083245310926183
3,3,spartan,0.1284377660025467
4,3,sax,0.009009009009009009
4,3,sfa,0.12470331607254008
4,3,spartan,0.2974605906991689
5,3,sax,0.009009009009009009
5,3,sfa,0.1480722824716119
5,3,spartan,0.36412250440402155
6,3,sax,0.009009009009009009
6,3,sfa,0.18187770900541175
6,3,spartan,0.40480740520638686
7,3,sax,0.009009009009009009
7,3,sfa,0.19144135030727857
7,3,spartan,0.44393631271620715
8,3,sax,0.009009009009009009
8,3,sfa,0.2153861959064717
8,3,spartan,0.4994283249913833
9,3,sax,0.009009009009009009
9,3,sfa,0.21950061239247576
9,3,spartan,0.5348437522078485
10,3,sax,0.009009009009009009
10,3,sfa,0.2285844706225324
10,3,spartan,0.6041067036903836
3,4,sax,0.009009009009009009
3,4,sfa,0.10652035787531637
3,4,spartan,0.14698625083527866
4,4,sax,0.009009009009009009
4,4,sfa,0.167857668766286
4,4,spartan,0.3194024450031025
5,4,sax,0.009009009009009009
5,4,sfa,0.2208751952523184
5,4,spartan,0.3869740764795401
6,4,sax,0.009009009009009009
6,4,sfa,0.2593148313616814
6,4,spartan,0.4293525838583403
7,4,sax,0.009009009009009009
7,4,sfa,0.26769893817065177
7,4,spartan,0.4712395248714951
8,4,sax,0.009009009009009009
8,4,sfa,0.28807662012731905
8,4,spartan,0.5252541186075166
9,4,sax,0.009009009009009009
9,4,sfa,0.3043908880890075
9,4,spartan,0.5624548539258836
10,4,sax,0.009009009009009009
10,4,sfa,0.3231786974019612
10,4,spartan,0.6293497094636438
3,5,sax,0.009009009009009009
3,5,sfa,0.09473480539080016
3,5,spartan,0.1567978138956296
4,5,sax,0.009009009009009009
4,5,sfa,0.16006017047291174
4,5,spartan,0.3306226139560566
5,5,sax,0.009009009009009009
5,5,sfa,0.21455711286810264
5,5,spartan,0.3985473946617851
6,5,sax,0.009009009009009009
6,5,sfa,0.23915607403699005
6,5,spartan,0.44169421923184765
7,5,sax,0.009009009009009009
7,5,sfa,0.2658105339493143
7,5,spartan,0.4845118771588132
8,5,sax,0.009009009009009009
8,5,sfa,0.2826883382606528
8,5,spartan,0.537384533495725
9,5,sax,0.009009009009009009
9,5,sfa,0.2969614663513697
9,5,spartan,0.5738283310485592
10,5,sax,0.009009009009009009
10,5,sfa,0.32003260394966937
10,5,spartan,0.6433045884320315
3,6,sax,0.009009009009009009
3,6,sfa,0.10709560154803797
3,6,spartan,0.15985598104360424
4,6,sax,0.009009009009009009
4,6,sfa,0.17058355777276868
