a,w,method,tlb
3,2,sax,0.005836469399218585
3,2,sfa,0.05945325790661862
3,2,spartan,0.09628203887735247
4,2,sax,0.004888899990380982
4,2,sfa,0.10599257882793872
4,2,spartan,0.1771822715972613
5,2,sax,0.03910596361113123
5,2,sfa,0.13392735332624262
5,2,spartan,0.2209476846424623
6,2,sax,0.03819183074840167
6,2,sfa,0.15716880067979921
6,2,spartan,0.2567674251929728
7,2,sax,0.05595504519001114
7,2,sfa,0.17009527298856267
7,2,spartan,0.2874273449830586
8,2,sax,0.07470162963300012
8,2,sfa,0.18351979850807024
8,2,spartan,0.30885112733452785
9,2,sax,0.0816183374904019
9,2,sfa,0.19118864546890196
9,2,spartan,0.3237160124721763
10,2,sax,0.09320778580719312
10,2,sfa,0.2002928513480636
10,2,spartan,0.33553629718648864
3,3,sax,0.044365059387675834
3,3,sfa,0.08355895643618765
3,3,spartan,0.13544920055384246
4,3,sax,0.07142684412582447
4,3,sfa,0.13931113144545787
4,3,spartan,0.23261396748604096
5,3,sax,0.12079760150016429
5,3,sfa,0.1733087123168702
5,3,spartan,0.28619322970528066
6,3,sax,0.14995405874853043
6,3,sfa,0.20191905627486234
6,3,spartan,0.3276009278420853
7,3,sax,0.17471273621775552
7,3,sfa,0.2177282703328253
7,3,spartan,0.36148936705499396
8,3,sax,0.19227877674721333
8,3,sfa,0.232692184021257
8,3,spartan,0.38774648933554356
9,3,sax,0.20959855343077594
9,3,sfa,0.24309925121619624
9,3,spartan,0.4043374715953006
10,3,sax,0.22825014667713034
10,3,sfa,0.25327586225976817
10,3,spartan,0.418661397010338
3,4,sax,0.08796358019502004
3,4,sfa,0.10948047517345738
3,4,spartan,0.16261690815456895
4,4,sax,0.15657298635958797
4,4,sfa,0.1741246888983108
4,4,spartan,0.27259505018746266
5,4,sax,0.20801355027293866
5,4,sfa,0.21572281647468008
5,4,spartan,0.33232755362628597
6,4,sax,0.24314774791137148
6,4,sfa,0.24856062524895406
6,4,spartan,0.378043272501882
7,4,sax,0.27173708512628464
7,4,sfa,0.2685360890628382
7,4,spartan,0.4161926626485076
8,4,sax,0.29826944961111573
8,4,sfa,0.28589058810406376
8,4,spartan,0.44475550990960694
9,4,sax,0.31543351038381295
9,4,sfa,0.2992312781042259
9,4,spartan,0.4644071803874528
10,4,sax,0.32798413157130235
10,4,sfa,0.3106760612157132
10,4,spartan,0.4804372897739826
3,5,sax,0.11587023582289403
3,5,sfa,0.12706736178621875
3,5,spartan,0.18732764755476752
4,5,sax,0.20078690346437475
4,5,sfa,0.19859306287181644
4,5,spartan,0.30511604041198986
5,5,sax,0.2530471913129229
5,5,sfa,0.24359886242913362
5,5,spartan,0.3710934030867272
6,5,sax,0.2933211534124392
6,5,sfa,0.27777330734982125
6,5,spartan,0.4200651056863627
7,5,sax,0.3278382132823604
7,5,sfa,0.30154919205690867
7,5,spartan,0.4604793072067899
8,5,sax,0.35384510013751796
8,5,sfa,0.3200207581665062
8,5,spartan,0.4911633502893815
9,5,sax,0.3750383875403556
9,5,sfa,0.3343324965924579
9,5,spartan,0.5123983486466664
10,5,sax,0.3908109112271569
10,5,sfa,0.34661543876079215
10,5,spartan,0.5304979355882086
3,6,sax,0.1438209919619486
3,6,sfa,0.1445979798199058
3,6,spartan,0.2036780162429616
4,6,sax,0.23499867675593566
4,6,sfa,0.22367016153343625
4,6,spartan,0.3288314542678652
5,6,sax,0.3012517343820455
5,6,sfa,0.27251360769770355
5,6,spartan,0.4000686737771242
6,6,sax,0.34365231792290063
6,6,sfa,0.3077443441715114
6,6,spartan,0.4524343641840888
7,6,sax,0.38197944691092284
7,6,sfa,0.33391938763038664
7,6,spartan,0.49494356847182763
8,6,sax,0.408234137358131
