a,w,method,tlb
3,2,sax,0.026457151554080332
3,2,sfa,0.05892353401992894
3,2,spartan,0.09146553794300019
4,2,sax,0.04968644315323324
4,2,sfa,0.10816365227135644
4,2,spartan,0.16028320926961157
5,2,sax,0.05935332595287291
5,2,sfa,0.1408111784523582
5,2,spartan,0.22416893542954797
6,2,sax,0.08614540045803055
6,2,sfa,0.16927391474172235
6,2,spartan,0.26288676323005705
7,2,sax,0.11184708704437424
7,2,sfa,0.18528812177792847
7,2,spartan,0.28495706552265976
8,2,sax,0.1393063501668316
8,2,sfa,0.201564218796576
8,2,spartan,0.30494317354786693
9,2,sax,0.14635318543299444
9,2,sfa,0.21512586271482945
9,2,spartan,0.3192846627730432
10,2,sax,0.15031826106708593
10,2,sfa,0.2259322341725102
10,2,spartan,0.34633751893553033
3,3,sax,0.06684615973796608
3,3,sfa,0.071890626502376
3,3,spartan,0.11617655737958325
4,3,sax,0.13203036286022463
4,3,sfa,0.1325693424874182
4,3,spartan,0.19759704970839967
5,3,sax,0.1675433002072174
5,3,sfa,0.16954024626500092
5,3,spartan,0.27182855238691117
6,3,sax,0.21527730668462983
6,3,sfa,0.1999546946918957
6,3,spartan,0.3107980708566076
7,3,sax,0.23457482998363868
7,3,sfa,0.2200871217320745
7,3,spartan,0.33662086634755284
8,3,sax,0.2513169376355834
8,3,sfa,0.23659017406176588
8,3,spartan,0.36029718226377605
9,3,sax,0.2694884537455579
9,3,sfa,0.2514037874564939
9,3,spartan,0.3782617971999638
10,3,sax,0.2758668229980998
10,3,sfa,0.26130502056278554
10,3,spartan,0.40628025616329694
3,4,sax,0.10363697938484914
3,4,sfa,0.09098883109395592
3,4,spartan,0.13930358652681418
4,4,sax,0.18944278639641782
4,4,sfa,0.15867882831558547
4,4,spartan,0.2302878151855488
5,4,sax,0.25131503029261104
5,4,sfa,0.20184186124769163
5,4,spartan,0.30728451684662195
6,4,sax,0.29531336194163005
6,4,sfa,0.23365204319867497
6,4,spartan,0.35027565953504086
7,4,sax,0.32259532300752247
7,4,sfa,0.2552465986238627
7,4,spartan,0.37896720603120754
8,4,sax,0.3408331797325027
8,4,sfa,0.27480434793477837
8,4,spartan,0.4033645566232447
9,4,sax,0.35636824367027936
9,4,sfa,0.2904728372833294
9,4,spartan,0.4231797732441676
10,4,sax,0.3780086512847252
10,4,sfa,0.3015515482921917
10,4,spartan,0.4526183343875857
3,5,sax,0.12831357031989135
3,5,sfa,0.10155942113508017
3,5,spartan,0.1577691154418941
4,5,sax,0.22350085397251276
4,5,sfa,0.17389516752784126
4,5,spartan,0.25563009956581234
