a,w,method,tlb
3,2,sax,0.026457151554080332
3,2,sfa,0.05892353401992894
3,2,spartan,0.09146553794300019
4,2,sax,0.04968644315323324
4,2,sfa,0.10816365227135644
4,2,spartan,0.16028320926961157
5,2,sax,0.05935332595287291
5,2,sfa,0.1408111784523582
5,2,spartan,0.22416893542954797
6,2,sax,0.08614540045803055
6,2,sfa,0.16927391474172235
6,2,spartan,0.26288676323005705
7,2,sax,0.11184708704437424
7,2,sfa,0.18528812177792847
7,2,spartan,0.28495706552265976
8,2,sax,0.1393063501668316
8,2,sfa,0.201564218796576
8,2,spartan,0.30494317354786693
9,2,sax,0.14635318543299444
9,2,sfa,0.21512586271482945
9,2,spartan,0.319374900868465
10,2,sax,0.15031826106708593
10,2,sfa,0.2259322341725102
10,2,spartan,0.34633751893553033
3,3,sax,0.06684615973796608
3,3,sfa,0.071890626502376
3,3,spartan,0.11617571536747318
4,3,sax,0.13203036286022463
4,3,sfa,0.1325693424874182
4,3,spartan,0.19767026697840692
5,3,sax,0.1675433002072174
5,3,sfa,0.16954024626500092
5,3,spartan,0.2706305851130434
6,3,sax,0.21527730668462983
6,3,sfa,0.1999546946918957
6,3,spartan,0.31094786908210265
7,3,sax,0.23457482998363868
7,3,sfa,0.2200871217320745
7,3,spartan,0.336510430510421
8,3,sax,0.2513169376355834
8,3,sfa,0.23659017406176588
8,3,spartan,0.35967534931928474
9,3,sax,0.2694884537455579
9,3,sfa,0.2514037874564939
9,3,spartan,0.37832311661461593
10,3,sax,0.2758668229980998
10,3,sfa,0.26130502056278554
10,3,spartan,0.40668489680294273
3,4,sax,0.10363697938484914
3,4,sfa,0.09098883109395592
3,4,spartan,0.13930358652681418
4,4,sax,0.18944278639641782
4,4,sfa,0.15867882831558547
4,4,spartan,0.23059354547271088
5,4,sax,0.25131503029261104
5,4,sfa,0.20184186124769163
5,4,spartan,0.3070083302152327
6,4,sax,0.29531336194163005
6,4,sfa,0.23365204319867497
6,4,spartan,0.3496359825857633
7,4,sax,0.32259532300752247
7,4,sfa,0.2552465986238627
7,4,spartan,0.3789836556432312
8,4,sax,0.3408331797325027
8,4,sfa,0.27480434793477837
8,4,spartan,0.40269223649717917
9,4,sax,0.35636824367027936
9,4,sfa,0.2904728372833294
9,4,spartan,0.4229746234116518
10,4,sax,0.3780086512847252
10,4,sfa,0.3015515482921917
10,4,spartan,0.452139999126368
3,5,sax,0.12831357031989135
3,5,sfa,0.10155942113508017
3,5,spartan,0.1579350571775667
4,5,sax,0.22350085397251276
4,5,sfa,0.17389516752784126
4,5,spartan,0.25540094079612463
5,5,sax,0.2816356879170048
5,5,sfa,0.2184906144995487
5,5,spartan,0.33445388837784
6,5,sax,0.3292224354137244
6,5,sfa,0.2504846008346911
6,5,spartan,0.38002947038543466
7,5,sax,0.3557316554388157
7,5,sfa,0.27197238332233215
7,5,spartan,0.409788087532049
8,5,sax,0.38571626563725114
8,5,sfa,0.29329370899050805
8,5,spartan,0.4340203142334526
9,5,sax,0.4057400259560955
9,5,sfa,0.3093323184920795
9,5,spartan,0.45567890898824687
10,5,sax,0.4258895630039288
10,5,sfa,0.32147114599249105
10,5,spartan,0.48514574157126206
3,6,sax,0.13431352888356704
3,6,sfa,0.11318868130500215
3,6,spartan,0.17026469047373144
4,6,sax,0.2530670754142262
4,6,sfa,0.19078260759133964
4,6,spartan,0.2746814713200249
5,6,sax,0.3181887026852745
5,6,sfa,0.23841666091241878
5,6,spartan,0.3556788046641871
6,6,sax,0.35671166353147726
6,6,sfa,0.27165193992253595
6,6,spartan,0.40375213795643194
7,6,sax,0.39635981476300547
7,6,sfa,0.2945934884845378
7,6,spartan,0.4343585440019132
8,6,sax,0.4256018455485817
8,6,sfa,0.3163241159583716
8,6,spartan,0.45899656297798086
9,6,sax,0.4448421669414945
9,6,sfa,0.3325330261309815
9,6,spartan,0.48085891590351265
10,6,sax,0.465812743987558
10,6,sfa,0.3456446950373922
10,6,spartan,0.511788017620322
3,7,sax,0.16982069862545443
3,7,sfa,0.11981224673831735
3,7,spartan,0.1827660799306861
4,7,sax,0.2728942707064449
4,7,sfa,0.20059041753008958
4,7,spartan,0.2889881503269195
5,7,sax,0.34757559039499436
5,7,sfa,0.249950343115256
5,7,spartan,0.37088710477225495
6,7,sax,0.3968757762729889
6,7,sfa,0.28252181719520036
6,7,spartan,0.42137880147939605
7,7,sax,0.4207021675566487
7,7,sfa,0.3083917187088078
7,7,spartan,0.4520256811108587
8,7,sax,0.4454397443084844
8,7,sfa,0.3292243700213844
8,7,spartan,0.4779053529566393
9,7,sax,0.4702315682499655
9,7,sfa,0.34605914326163467
9,7,spartan,0.5007884158324566
10,7,sax,0.4884202000780267
10,7,sfa,0.35975050119371793
10,7,spartan,0.5311120141156395
3,8,sax,0.1773048902645106
3,8,sfa,0.12851056502745845
3,8,spartan,0.18923020127197318
4,8,sax,0.28902052567641545
4,8,sfa,0.21113642015142597
4,8,spartan,0.29750981290639744
5,8,sax,0.3642397853511709
5,8,sfa,0.2622175309428936
5,8,spartan,0.3800042948885227
6,8,sax,0.4101242137991703
6,8,sfa,0.29630189393701195
6,8,spartan,0.43221131494304565
7,8,sax,0.4478746750537371
7,8,sfa,0.32192349238999113
7,8,spartan,0.4641879025729221
8,8,sax,0.4684997392225459
8,8,sfa,0.3426774361651985
8,8,spartan,0.4896647227007174
9,8,sax,0.4964383659110837
9,8,sfa,0.3606457967307861
9,8,spartan,0.5127720693838845
10,8,sax,0.5124615737871953
10,8,sfa,0.3748905234685125
10,8,spartan,0.5436602517081525
