a,w,method,tlb
3,2,sax,0.00030303030303030303
3,2,sfa,0.029645234892513837
3,2,spartan,0.16291211180113022
4,2,sax,0.00030303030303030303
4,2,sfa,0.058152145200792184
4,2,spartan,0.2571317741769301
5,2,sax,0.002207795222152872
5,2,sfa,0.07312619970027258
5,2,spartan,0.34015922489435274
6,2,sax,0.0009959785831362173
6,2,sfa,0.0839012412927265
6,2,spartan,0.3891275847109807
7,2,sax,0.005133976414989134
7,2,sfa,0.09476804708298177
7,2,spartan,0.43673618167135686
8,2,sax,0.00926674106135263
8,2,sfa,0.10160312417868739
8,2,spartan,0.4697170405851371
9,2,sax,0.010280139213342013
9,2,sfa,0.10691050633449545
9,2,spartan,0.4969080299999038
10,2,sax,0.021777111879367077
10,2,sfa,0.11223561643357616
10,2,spartan,0.516254313927014
3,3,sax,0.04023311270126822
3,3,sfa,0.09680031052780975
3,3,spartan,0.18470654678494586
4,3,sax,0.0358437569865955
4,3,sfa,0.17918087350122905
4,3,spartan,0.2852170811709491
5,3,sax,0.07540263255378214
5,3,sfa,0.23095500788183068
5,3,spartan,0.3727850613046659
6,3,sax,0.11618887856170702
6,3,sfa,0.27345027611426986
6,3,spartan,0.42514122470844146
7,3,sax,0.11016571761227087
7,3,sfa,0.29951133047186707
7,3,spartan,0.4740644555547993
8,3,sax,0.14628341365732558
8,3,sfa,0.31385871599996723
8,3,spartan,0.5085346371625119
9,3,sax,0.17033802992872352
9,3,sfa,0.33045016238221964
9,3,spartan,0.5390329288771143
10,3,sax,0.1796520981770542
10,3,sfa,0.3464273956594155
10,3,spartan,0.5600870527827576
3,4,sax,0.07089518249923508
3,4,sfa,0.12903986413968505
3,4,spartan,0.2124106753946385
4,4,sax,0.1204116033703693
4,4,sfa,0.23141068843994397
4,4,spartan,0.33009695740177497
5,4,sax,0.15132802765841724
5,4,sfa,0.30091658643434405
5,4,spartan,0.4206608531108508
6,4,sax,0.15463503239539475
6,4,sfa,0.3515840820338711
6,4,spartan,0.4766936230983597
7,4,sax,0.17192843821548898
7,4,sfa,0.3828001533623569
7,4,spartan,0.5283272783879266
8,4,sax,0.20940100174033904
8,4,sfa,0.4030048773589266
8,4,spartan,0.5638462502995424
9,4,sax,0.2341814911334344
9,4,sfa,0.4257076933722709
9,4,spartan,0.5953556500678909
10,4,sax,0.2527033961952377
10,4,sfa,0.44496221527912055
10,4,spartan,0.6174643442386766
3,5,sax,0.11051121891251373
3,5,sfa,0.13705292066932942
3,5,spartan,0.22169011444480388
4,5,sax,0.20111580592258033
4,5,sfa,0.23106582351315663
4,5,spartan,0.3474764235326912
5,5,sax,0.26745051772578954
5,5,sfa,0.29297358338706064
5,5,spartan,0.44147716496281997
6,5,sax,0.2864346801062143
6,5,sfa,0.34167113996047266
6,5,spartan,0.4978742885805893
7,5,sax,0.3123560595577373
7,5,sfa,0.37497342510704523
7,5,spartan,0.5497685155514657
8,5,sax,0.34053249736292135
8,5,sfa,0.39598013871143684
8,5,spartan,0.5859094325229257
9,5,sax,0.3691771861157557
9,5,sfa,0.41842980611780956
