dataset,method,tlb
DiatomSizeReduction,SPARTAN,0.3713059113124968
InsectEPGSmallTrain,SPARTAN,0.3560155583443568
Fungi,SPARTAN,0.4156410510444825
BeetleFly,SPARTAN,0.3785327609070206
BirdChicken,SPARTAN,0.4300749391373253
Rock,SPARTAN,0.3955726617013127
DodgerLoopGame,SPARTAN,0.2713260109694236
DodgerLoopWeekend,SPARTAN,0.2713260109694236
ShapeletSim,SPARTAN,0.1275840000923727
Chinatown,SPARTAN,0.3763771050385412
SonyAIBORobotSurface1,SPARTAN,0.3363706393765651
MoteStrain,SPARTAN,0.3099247683160857
ECGFiveDays,SPARTAN,0.4607653096929755
TwoLeadECG,SPARTAN,0.4015099434306493
FaceFour,SPARTAN,0.370599898257434
Symbols,SPARTAN,0.3567833131751392
SonyAIBORobotSurface2,SPARTAN,0.3645392263851831
Coffee,SPARTAN,0.3682537189237976
FreezerSmallTrain,SPARTAN,0.4365646053540805
Beef,SPARTAN,0.3245009178164438
OliveOil,SPARTAN,0.3950561951115529
BME,SPARTAN,0.4557529570654791
CBF,SPARTAN,0.3369465147404383
ToeSegmentation2,SPARTAN,0.3620877852300304
UMD,SPARTAN,0.4727086834922606
ArrowHead,SPARTAN,0.2846923060169661
HouseTwenty,SPARTAN,0.2894410612616992
ToeSegmentation1,SPARTAN,0.3338948330630188
CinCECGTorso,SPARTAN,0.3573815530246818
PickupGestureWiimoteZ,SPARTAN,0.396990080917397
ShakeGestureWiimoteZ,SPARTAN,0.2853672619082212
GunPoint,SPARTAN,0.3673959386623028
Mallat,SPARTAN,0.4032359608779113
Wine,SPARTAN,0.3317813485599323
Car,SPARTAN,0.3278849275657428
Meat,SPARTAN,0.3744111460082219
Lightning2,SPARTAN,0.2995491460493384
InsectEPGRegularTrain,SPARTAN,0.3611606171626744
Herring,SPARTAN,0.3455031331337215
ItalyPowerDemand,SPARTAN,0.3433733474645558
Lightning7,SPARTAN,0.3110358089515256
DodgerLoopDay,SPARTAN,0.2713260109694236
ACSF1,SPARTAN,0.2041647803206529
ECG200,SPARTAN,0.3408920642015183
Trace,SPARTAN,0.408845591644679
InlineSkate,SPARTAN,0.3660682807783502
MixedShapesSmallTrain,SPARTAN,0.379828254937164
PigAirwayPressure,SPARTAN,0.4522061108713075
PigArtPressure,SPARTAN,0.2372848616841298
PigCVP,SPARTAN,0.2962325682153752
Plane,SPARTAN,0.3940047838081423
Ham,SPARTAN,0.3268828409092092
GesturePebbleZ1,SPARTAN,0.3740714027769181
GunPointAgeSpan,SPARTAN,0.3807167711804484
GunPointMaleVersusFemale,SPARTAN,0.3807167711804484
GunPointOldVersusYoung,SPARTAN,0.3807167711804484
GesturePebbleZ2,SPARTAN,0.3740714027769182
SmoothSubspace,SPARTAN,0.3738823394351205
FreezerRegularTrain,SPARTAN,0.4372436223184963
Haptics,SPARTAN,0.342971148552765
Fish,SPARTAN,0.3069208681452682
PowerCons,SPARTAN,0.3216278515915936
Worms,SPARTAN,0.2961774035899901
WormsTwoClass,SPARTAN,0.2961774035899901
OSULeaf,SPARTAN,0.3201593896810371
FacesUCR,SPARTAN,0.3232799857928435
GestureMidAirD1,SPARTAN,0.3618692708485146
GestureMidAirD2,SPARTAN,0.3903794441313674
GestureMidAirD3,SPARTAN,0.4128794735677041
Phoneme,SPARTAN,0.1106680851375739
InsectWingbeatSound,SPARTAN,0.388964706375255
Computers,SPARTAN,0.2753270284742444
WordSynonyms,SPARTAN,0.3583282673972724
SyntheticControl,SPARTAN,0.336217106866719
SemgHandGenderCh2,SPARTAN,0.1688002785144193
AllGestureWiimoteX,SPARTAN,0.3323738865257787
AllGestureWiimoteY,SPARTAN,0.3778660704631332
AllGestureWiimoteZ,SPARTAN,0.3619912075067414
Yoga,SPARTAN,0.3735739568731884
Earthquakes,SPARTAN,0.1017831038129268
EOGHorizontalSignal,SPARTAN,0.4285889415130959
EOGVerticalSignal,SPARTAN,0.3617321393212858
LargeKitchenAppliances,SPARTAN,0.1692783039645472
RefrigerationDevices,SPARTAN,0.086494427362259
ScreenType,SPARTAN,0.2995241692472455
SmallKitchenAppliances,SPARTAN,0.0506717757530325
MedicalImages,SPARTAN,0.3645812424711234
CricketX,SPARTAN,0.3285553169114176
CricketY,SPARTAN,0.3453654287252863
CricketZ,SPARTAN,0.327125769436583
Adiac,SPARTAN,0.2666710868597415
MiddlePhalanxTW,SPARTAN,0.3682259588531665
DistalPhalanxOutlineAgeGroup,SPARTAN,0.3608027428805575
DistalPhalanxTW,SPARTAN,0.3608027428805575
MiddlePhalanxOutlineAgeGroup,SPARTAN,0.3668859065223711
ProximalPhalanxOutlineAgeGroup,SPARTAN,0.3835968649815322
ProximalPhalanxTW,SPARTAN,0.3835968649815323
SemgHandMovementCh2,SPARTAN,0.1688002785144194
SemgHandSubjectCh2,SPARTAN,0.1688002785144194
FiftyWords,SPARTAN,0.3573206752705391
ChlorineConcentration,SPARTAN,0.3990627145607534
SwedishLeaf,SPARTAN,0.2977327493777568
MixedShapesRegularTrain,SPARTAN,0.3720539261805312
ECG5000,SPARTAN,0.3734004385736262
EthanolLevel,SPARTAN,0.3937264413362245
PLAID,SPARTAN,0.2863851014794225
FaceAll,SPARTAN,0.314812891664103
DistalPhalanxOutlineCorrect,SPARTAN,0.3429946798613041
MiddlePhalanxOutlineCorrect,SPARTAN,0.3747949869903797
ProximalPhalanxOutlineCorrect,SPARTAN,0.3627139285575183
ShapesAll,SPARTAN,0.3672142926191517
Strawberry,SPARTAN,0.3004547922564783
UWaveGestureLibraryAll,SPARTAN,0.358487896888696
UWaveGestureLibraryX,SPARTAN,0.3871456837311917
UWaveGestureLibraryY,SPARTAN,0.3980680957856267
UWaveGestureLibraryZ,SPARTAN,0.3958063349660482
